Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
1,6.6,2.1818,0,0.0016419,16407,0.00067912,1765.4,0.00046641,167.22,-0.0016031,-15383,0.24389
2,6.6,2.3636,0,0.0013003,12994,0.00054606,1399.4,0.00035443,-40.416,-0.0012712,-12255,0.24513
3,6.6,2.5455,0,0.0011455,11447,0.00047266,1150.3,0.00031967,0.74085,-0.0011216,-10828,0.24601
4,6.6,2.7273,0,0.0010653,10646,0.00043557,1017.2,0.00029958,-4.5495,-0.0010444,-10103,0.24658
5,6.6,2.9091,0,0.0010311,10304,0.00041922,956.79,0.00029157,-2.3732,-0.0010115,-9793.2,0.24686
6,6.6,3.0909,0,0.0010311,10304,0.00041922,956.79,0.00029157,-2.3732,-0.0010115,-9793.2,0.24686
7,6.6,3.2727,0,0.0010653,10646,0.00043557,1017.2,0.00029958,-4.5495,-0.0010444,-10103,0.24658
8,6.6,3.4545,0,0.0011455,11447,0.00047266,1150.3,0.00031967,0.74085,-0.0011216,-10828,0.24601
9,6.6,3.6364,0,0.0013003,12994,0.00054606,1399.4,0.00035443,-40.416,-0.0012712,-12255,0.24513
10,6.6,3.8182,0,0.0016419,16407,0.00067912,1765.4,0.00046641,167.22,-0.0016031,-15383,0.24389
11,6.7667,2.1818,0,0.0016254,16242,0.00065785,1530.8,0.00046718,98.19,-0.0015929,-15380,0.25735
12,6.7667,2.3636,0,0.001294,12931,0.00053872,1333.3,0.00035559,-42.707,-0.0012665,-12231,0.25858
13,6.7667,2.5455,0,0.0011395,11387,0.00046765,1113.4,0.00031964,1.2993,-0.0011164,-10789,0.25945
14,6.7667,2.7273,0,0.0010596,10589,0.00043171,993.08,0.00029894,-4.5628,-0.0010393,-10059,0.26001
15,6.7667,2.9091,0,0.0010255,10247,0.00041576,937.27,0.00029072,-2.2413,-0.0010063,-9747.6,0.26029
16,6.7667,3.0909,0,0.0010255,10247,0.00041576,937.27,0.00029072,-2.2413,-0.0010063,-9747.6,0.26029
17,6.7667,3.2727,0,0.0010596,10589,0.00043171,993.08,0.00029894,-4.5628,-0.0010393,-10059,0.26001
18,6.7667,3.4545,0,0.0011395,11387,0.00046765,1113.4,0.00031964,1.2993,-0.0011164,-10789,0.25945
19,6.7667,3.6364,0,0.001294,12931,0.00053872,1333.3,0.00035559,-42.707,-0.0012665,-12231,0.25858
20,6.7667,3.8182,0,0.0016254,16242,0.00065785,1530.8,0.00046718,98.191,-0.0015929,-15380,0.25735
21,6.4167,5.8182,0,9.6294e-05,962.27,4.5186e-05,149.56,2.175e-05,-26.532,-9.2984e-05,-888.6,0.21064
22,6.4167,5.6364,0,0.00014026,1401.7,7.2269e-05,315.02,2.8685e-05,-12.461,-0.00013222,-1221.4,0.21244
23,6.4167,5.4545,0,0.0001955,1953.6,0.00011081,574.88,3.306e-05,-9.2921,-0.00017921,-1604.2,0.21424
24,6.4167,5.2727,0,0.00025717,2570,0.00015527,884.9,3.6429e-05,-8.0502,-0.00023034,-2012.4,0.21606
25,6.4167,5.0909,0,0.0003268,3265.7,0.00020609,1244.4,3.9431e-05,-7.8135,-0.00028722,-2462.1,0.2179
26,6.4167,4.9091,0,0.00040788,4076,0.00026541,1665.2,4.2492e-05,-9.7394,-0.00035302,-2981.4,0.21975
27,6.4167,4.7273,0,0.00050667,5063.2,0.00033708,2173,4.6881e-05,-7.4453,-0.00043328,-3615.2,0.22161
28,6.4167,4.5455,0,0.00063414,6337,0.00042771,2791.6,5.2598e-05,-26.84,-0.00053818,-4465.7,0.22347
29,6.4167,4.3636,0,0.00081593,8153.7,0.00055281,3654.2,6.8875e-05,18.142,-0.00069016,-5684.9,0.22531
30,6.4167,4.1818,0,0.0010825,10818,0.00069392,4206.9,0.00011348,-154.38,-0.00094548,-8110.9,0.22708
31,6.4167,4,0,0.0012834,12825,0.00069054,2976.9,0.00021101,-626.16,-0.0012048,-11264,0.22869
32,6.4167,3.8182,0,0.0012201,12193,0.0005148,1375.5,0.00033417,18.408,-0.0011907,-11439,0.23006
33,6.4167,3.6364,0,0.0011438,11430,0.00046966,1109.2,0.00031957,-18.521,-0.001121,-10843,0.23114
34,6.4167,3.4545,0,0.0010606,10599,0.0004266,932.04,0.00030328,5.4547,-0.0010416,-10100,0.23195
35,6.4167,3.2727,0,0.0010121,10114,0.00040465,854.12,0.00029048,-3.7637,-0.00099492,-9661.7,0.23247
36,6.4167,3.0909,0,0.00098911,9884.3,0.00039375,815.46,0.00028511,-0.79209,-0.00097272,-9451.7,0.23274
37,6.4167,2.9091,0,0.00098911,9884.3,0.00039375,815.46,0.00028511,-0.79209,-0.00097272,-9451.7,0.23274
38,6.4167,2.7273,0,0.0010121,10114,0.00040465,854.12,0.00029048,-3.7637,-0.00099492,-9661.7,0.23247
39,6.4167,2.5455,0,0.0010606,10599,0.0004266,932.04,0.00030328,5.4547,-0.0010416,-10100,0.23195
40,6.4167,2.3636,0,0.0011438,11430,0.00046966,1109.2,0.00031957,-18.521,-0.001121,-10843,0.23114
41,6.4167,2.1818,0,0.0012201,12193,0.0005148,1375.5,0.00033417,18.408,-0.0011907,-11439,0.23006
42,6.4167,2,0,0.0012834,12825,0.00069054,2976.9,0.00021101,-626.16,-0.0012048,-11264,0.22869
43,6.4167,1.8182,0,0.0010825,10818,0.00069392,4206.9,0.00011348,-154.38,-0.00094548,-8110.9,0.22708
