Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
161	11.174	4.3605	0.	-9.0282
162	7.6617	1.8605	0.	-83.069
163	4.8799	1.5352	5.e-002	5.6242e-006
164	4.99	1.5176	0.	43.7
165	5.2077	2.4902	5.e-002	5.5389e-005
166	5.3284	2.623	0.1	18.942
167	5.1348	2.4788	0.1	20.054
168	5.1987	2.3883	0.1	73.984
169	4.7504	1.3592	0.1	-7.7512
170	4.8436	1.7463	0.1	-21.271
171	4.99	1.5176	0.1	-43.7
172	13.347	3.0273	0.1	16.11
173	9.2407	3.4857	0.1	103.06
174	7.6617	1.8605	0.1	83.069
175	11.174	4.3605	0.1	9.0282
176	10.003	1.3605	0.1	10.822
177	5.2959	2.8501	0.1	10.171
178	5.6963	2.8853	0.1	73.939
179	5.3579	2.3779	0.1	362.01
180	5.1022	2.7059	0.1	2.1749
181	4.8101	2.5168	0.1	-53.947
182	5.2046	3.4722	0.1	234.69
183	4.9346	2.2124	0.1	102.44
184	5.0953	2.3783	0.1	-135.93
185	16.806	4.6668	0.1	17.441
186	20.319	3.1668	0.1	13.752
187	15.635	1.6668	0.1	38.026
188	5.1592	2.2878	0.1	-42.414
189	5.2282	2.1432	0.1	553.92
190	7.6001	3.7617	0.1	54.312
191	6.3595	3.1439	0.1	23.18
192	6.0211	3.8864	0.1	47.054
193	6.0211	2.1364	0.1	39.454
194	6.8457	4.6252	0.1	119.32
195	8.6019	5.1252	0.1	80.444
196	3.6646	3.8673	0.1	32.404
197	4.5688	4.5591	0.1	-147.18
198	4.5688	4.8091	0.1	178.56
199	3.2938	5.3091	0.1	-22.134
200	4.5493	1.6363	0.1	41.265
201	3.8847	2.6028	0.1	98.997
202	4.6425	2.0234	0.1	40.362
203	4.7888	3.0446	0.1	211.81
204	3.9388	1.0446	0.1	-43.439
205	4.8605	1.0916	0.1	19.704
206	4.0105	0.59165	0.1	3.1578
207	2.5172	3.0729	0.1	236.81
208	0.87135	3.0147	0.1	613.28
