Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
140	19.33	1.4997	0.	1.3142e-006
141	21.671	2.9997	0.	8.8153e-007
142	19.33	4.4997	0.	1.2997e-006
143	11.901	2.8622	0.	1.0002e-005
144	14.608	2.9614	5.e-002	-1.131e-014
145	14.621	1.4807	0.	8.6469e-006
146	14.621	4.4807	0.	9.199e-006
147	8.2089	2.0842	0.	1.6667e-005
148	9.1931	2.763	5.e-002	-3.9415e-013
149	9.5716	1.3815	0.	1.398e-005
150	9.5716	4.3815	0.	1.4011e-005
151	2.3523	3.8373	5.e-002	-1.0351e-012
152	2.4512	4.9187	0.	1.0278e-005
153	2.4512	1.9187	0.	5.5959e-006
154	1.1762	3.4187	0.	4.1167e-006
155	3.7262	4.4187	0.	1.5742e-005
156	6.1407	2.4753	0.	3.4198e-005
157	6.8353	1.8426	0.	2.171e-005
158	6.4457	2.2798	5.e-002	1.4898e-012
159	5.8562	1.8899	0.	2.9578e-005
160	5.65	2.804	0.	5.4467e-005
161	5.8356	2.6708	5.e-002	7.0427e-013
162	5.5511	2.3354	0.	6.5631e-005
163	5.0979	3.16	0.	6.628e-005
164	4.9801	3.2205	5.e-002	8.5299e-013
165	5.0401	3.6102	0.	5.3695e-005
166	5.3401	3.0184	0.	6.7594e-005
167	5.2157	3.0995	5.e-002	4.9102e-013
168	5.4645	2.9372	5.e-002	1.1449e-012
169	7.2248	1.4053	5.e-002	-2.0503e-014
170	7.4166	0.70266	0.	2.0022e-005
171	6.2457	1.2027	0.	1.9426e-005
172	6.8353	1.8426	0.1	-2.171e-005
173	8.2089	2.0842	0.1	-1.6667e-005
174	6.2457	1.2027	0.1	-1.9426e-005
175	7.4166	0.70266	0.1	-2.0022e-005
176	5.3401	3.0184	0.1	-6.7594e-005
177	5.65	2.804	0.1	-5.4467e-005
178	5.3294	2.783	0.1	-6.4095e-005
179	5.5242	3.2344	0.1	-5.3058e-005
180	5.0979	3.16	0.1	-6.628e-005
181	5.2711	3.3064	0.1	-6.7656e-005
182	5.0677	2.8874	0.1	-6.6483e-005
183	4.7348	2.9403	0.1	-5.0039e-005
184	5.0401	3.6102	0.1	-5.3695e-005
185	6.1407	2.4753	0.1	-3.4198e-005
186	5.9464	3.1709	0.1	-3.3341e-005
187	5.5511	2.3354	0.1	-6.5631e-005
188	6.7213	3.1817	0.1	-2.1068e-005
189	5.8562	1.8899	0.1	-2.9578e-005
190	3.1104	2.9558	0.1	-2.3059e-005
191	3.7262	4.4187	0.1	-1.5742e-005
192	1.1762	3.4187	0.1	-4.1167e-006
193	2.4512	1.9187	0.1	-5.5959e-006
194	2.4512	4.9187	0.1	-1.0278e-005
195	11.901	2.8622	0.1	-1.0002e-005
196	8.095	3.4233	0.1	-1.8038e-005
197	9.5716	4.3815	0.1	-1.4011e-005
198	9.5716	1.3815	0.1	-1.398e-005
199	16.976	2.9804	0.1	-5.6111e-006
200	14.621	4.4807	0.1	-9.199e-006
201	14.621	1.4807	0.1	-8.6469e-006
202	19.33	4.4997	0.1	-1.2997e-006
203	21.671	2.9997	0.1	-8.8153e-007
204	19.33	1.4997	0.1	-1.3142e-006
205	5.0571	2.6521	0.1	-5.717e-005
206	5.2305	2.3145	0.1	-8.3275e-005
207	5.4552	3.5224	0.1	-5.7408e-005
208	5.2132	3.7566	0.1	-4.5881e-005
209	6.5271	3.8772	0.1	-2.7683e-005
210	6.1318	4.5418	0.1	-2.3892e-005
211	7.3026	5.0418	0.1	-2.0523e-005
212	4.1789	2.3672	0.1	-3.6408e-005
213	4.4842	3.5371	0.1	-2.6929e-005
214	4.4842	1.7871	0.1	-3.3505e-005
215	4.4842	1.5371	0.1	-1.3554e-005
216	3.2092	1.0371	0.1	-2.0648e-005
217	5.8206	3.6012	0.1	-3.9322e-005
218	5.6619	4.0855	0.1	-3.6076e-005
219	4.7046	2.6677	0.1	-4.934e-005
220	4.7947	3.3301	0.1	-4.9955e-005
221	4.7947	3.5801	0.1	-2.5154e-005
222	4.7947	2.3301	0.1	-7.6447e-005
223	5.4253	3.7658	0.1	-8.8798e-005
224	5.0099	2.3376	0.1	-8.5786e-005
225	5.2667	4.75	0.1	-2.7763e-005
226	5.2667	5.5	0.1	-1.8076e-005
227	5.2667	5.	5.e-002	-2.5084e-021
228	5.2667	4.25	0.1	-7.4585e-005
229	5.2667	4.5	5.e-002	2.4617e-013
230	5.1833	4.	0.1	-5.8862e-005
231	5.2667	4.	5.e-002	-2.8198e-012
232	5.1	4.25	0.1	-3.3716e-005
233	5.1	4.	5.e-002	3.987e-012
234	5.1	4.75	0.1	-1.6478e-005
235	5.1	4.5	5.e-002	-4.2603e-015
236	5.1	5.5	0.1	-2.65e-005
237	5.1	5.	5.e-002	1.4657e-012
238	5.2667	1.25	0.1	-3.4439e-005
239	5.2667	0.5	0.1	-1.7685e-005
240	5.2667	1.	5.e-002	3.121e-014
241	5.2667	1.75	0.1	-5.8365e-005
242	5.2667	1.5	5.e-002	2.1486e-013
243	5.1833	2.	0.1	-7.3052e-005
244	5.2667	2.	5.e-002	1.0202e-011
245	5.1	1.75	0.1	-6.7563e-005
246	5.1	2.	5.e-002	1.4744e-012
247	5.1	1.25	0.1	-2.1138e-005
248	5.1	1.5	5.e-002	-1.4468e-012
249	5.1	0.5	0.1	-1.0556e-005
250	5.1	1.	5.e-002	1.6641e-013
251	6.4375	6.	0.1	-1.5522e-005
252	5.2667	6.	5.e-002	-5.301e-022
253	8.7792	6.	0.1	-1.4536e-005
254	7.6083	6.	5.e-002	8.1496e-013
255	12.292	6.	0.1	-1.1989e-005
256	9.95	6.	5.e-002	1.1556e-012
257	16.975	6.	0.1	-5.3432e-006
258	14.633	6.	5.e-002	1.1219e-015
259	21.658	6.	0.1	-9.1007e-007
260	19.317	6.	5.e-002	5.6868e-013
261	24.	4.5	0.1	-4.2619e-007
262	24.	6.	5.e-002	-1.509e-012
263	24.	1.5	0.1	-3.6044e-007
264	24.	3.	5.e-002	-4.415e-013
265	1.3113e-014	1.5	0.1	7.0213e-007
266	3.9339e-014	4.5	0.1	4.1472e-006
267	2.6581e-014	3.	5.e-002	-4.4833e-021
268	21.658	0.	0.1	-7.7979e-007
269	24.	0.	5.e-002	-1.5882e-012
270	16.975	0.	0.1	-5.7467e-006
271	19.317	0.	5.e-002	9.7312e-013
272	12.292	0.	0.1	-1.2294e-005
273	14.633	0.	5.e-002	-1.9493e-013
274	8.7792	0.	0.1	-1.5195e-005
275	9.95	0.	5.e-002	-7.0896e-015
276	6.4375	0.	0.1	-1.6479e-005
277	7.6083	0.	5.e-002	5.2968e-013
278	5.2667	0.	5.e-002	4.9488e-014
279	3.825	1.6378e-030	0.1	-2.4263e-005
280	5.1	2.1837e-030	5.e-002	-2.6256e-021
281	1.275	5.4593e-031	0.1	-1.4318e-006
282	2.55	0.	5.e-002	1.7058e-013
283	0.	0.	5.e-002	6.5628e-014
284	1.275	6.	0.1	-5.247e-006
285	5.2451e-014	6.	5.e-002	3.6113e-013
286	3.825	6.	0.1	-2.553e-005
287	2.55	6.	5.e-002	-1.4384e-021
288	5.1	6.	5.e-002	-1.2158e-021
289	3.825	6.	0.	2.553e-005
290	1.275	6.	0.	5.247e-006
291	5.1	5.5	0.	2.65e-005
292	3.9339e-014	4.5	0.	-4.1472e-006
293	3.825	1.6378e-030	0.	2.4263e-005
294	1.275	5.4593e-031	0.	1.4318e-006
295	5.1	0.5	0.	1.0556e-005
296	1.3113e-014	1.5	0.	-7.0213e-007
297	8.7792	0.	0.	1.5195e-005
298	6.4375	0.	0.	1.6479e-005
299	12.292	0.	0.	1.2294e-005
300	16.975	0.	0.	5.7467e-006
301	21.658	0.	0.	7.7979e-007
302	5.2667	0.5	0.	1.7685e-005
303	24.	1.5	0.	3.6044e-007
304	24.	4.5	0.	4.2619e-007
305	21.658	6.	0.	9.1007e-007
306	16.975	6.	0.	5.3432e-006
307	12.292	6.	0.	1.1989e-005
308	8.7792	6.	0.	1.4536e-005
309	6.4375	6.	0.	1.5522e-005
310	5.2667	5.5	0.	1.8076e-005
311	5.1	1.25	0.	2.1138e-005
312	5.1	1.75	0.	6.7563e-005
313	5.1833	2.	0.	7.3052e-005
314	5.2667	1.25	0.	3.4439e-005
315	5.2667	1.75	0.	5.8365e-005
316	5.1	4.75	0.	1.6478e-005
317	5.1	4.25	0.	3.3716e-005
318	5.1833	4.	0.	5.8862e-005
319	5.2667	4.75	0.	2.7763e-005
320	5.2667	4.25	0.	7.4585e-005
