Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
142	19.33	4.4997	0.	4.3023e-006
143	11.901	2.8622	0.	1.4599e-005
144	14.608	2.9614	5.e-002	3.1588e-007
145	14.621	1.4807	0.	1.0055e-005
146	14.621	4.4807	0.	9.6683e-006
147	8.2089	2.0842	0.	2.3348e-005
148	9.1931	2.763	5.e-002	1.0587e-006
149	9.5716	1.3815	0.	1.7753e-005
150	9.5716	4.3815	0.	1.7132e-005
151	2.3523	3.8373	5.e-002	2.5783e-006
152	2.4512	4.9187	0.	7.3433e-005
153	2.4512	1.9187	0.	7.4143e-005
154	1.1762	3.4187	0.	3.8724e-005
155	3.7262	4.4187	0.	5.7583e-005
156	6.1407	2.4753	0.	4.1843e-005
157	6.8353	1.8426	0.	3.2264e-005
158	6.4457	2.2798	5.e-002	1.8496e-006
159	5.8562	1.8899	0.	4.2175e-005
160	5.65	2.804	0.	5.8974e-005
161	5.8356	2.6708	5.e-002	1.0019e-005
162	5.5511	2.3354	0.	8.2579e-005
163	5.0979	3.16	0.	7.3038e-005
164	4.9801	3.2205	5.e-002	9.72e-006
165	5.0401	3.6102	0.	1.229e-004
166	5.3401	3.0184	0.	7.3464e-005
167	5.2157	3.0995	5.e-002	3.3869e-006
168	5.4645	2.9372	5.e-002	2.5796e-006
169	7.2248	1.4053	5.e-002	2.8196e-006
170	7.4166	0.70266	0.	2.4439e-005
171	6.2457	1.2027	0.	2.819e-005
172	6.8353	1.8426	0.1	8.2236e-005
173	8.2089	2.0842	0.1	6.1475e-005
174	6.2457	1.2027	0.1	8.0767e-005
175	7.4166	0.70266	0.1	6.389e-005
176	5.3401	3.0184	0.1	2.0833e-004
177	5.65	2.804	0.1	1.6811e-004
178	5.3294	2.783	0.1	2.1565e-004
179	5.5242	3.2344	0.1	1.7623e-004
180	5.0979	3.16	0.1	2.1186e-004
181	5.2711	3.3064	0.1	2.3259e-004
182	5.0677	2.8874	0.1	2.1001e-004
183	4.7348	2.9403	0.1	1.7585e-004
184	5.0401	3.6102	0.1	3.1381e-004
185	6.1407	2.4753	0.1	1.1585e-004
186	5.9464	3.1709	0.1	1.2451e-004
187	5.5511	2.3354	0.1	2.5836e-004
188	6.7213	3.1817	0.1	8.2376e-005
189	5.8562	1.8899	0.1	1.2577e-004
190	3.1104	2.9558	0.1	1.1315e-004
191	3.7262	4.4187	0.1	1.17e-004
192	1.1762	3.4187	0.1	1.2396e-004
193	2.4512	1.9187	0.1	1.0953e-004
194	2.4512	4.9187	0.1	1.1799e-004
195	11.901	2.8622	0.1	3.9888e-005
196	8.095	3.4233	0.1	6.3227e-005
197	9.5716	4.3815	0.1	4.9215e-005
198	9.5716	1.3815	0.1	5.0289e-005
199	16.976	2.9804	0.1	1.9139e-005
200	14.621	4.4807	0.1	2.8616e-005
201	14.621	1.4807	0.1	2.8722e-005
202	19.33	4.4997	0.1	9.6335e-006
203	21.671	2.9997	0.1	6.2127e-006
204	19.33	1.4997	0.1	9.6004e-006
205	5.0571	2.6521	0.1	2.1714e-004
206	5.2305	2.3145	0.1	3.0425e-004
207	5.4552	3.5224	0.1	2.0281e-004
208	5.2132	3.7566	0.1	3.2852e-004
209	6.5271	3.8772	0.1	9.3576e-005
210	6.1318	4.5418	0.1	9.4406e-005
211	7.3026	5.0418	0.1	6.6561e-005
212	4.1789	2.3672	0.1	1.2735e-004
213	4.4842	3.5371	0.1	1.0683e-004
214	4.4842	1.7871	0.1	1.248e-004
215	4.4842	1.5371	0.1	8.268e-005
216	3.2092	1.0371	0.1	1.0152e-004
217	5.8206	3.6012	0.1	1.349e-004
218	5.6619	4.0855	0.1	1.2735e-004
219	4.7046	2.6677	0.1	1.7469e-004
220	4.7947	3.3301	0.1	2.8419e-004
221	4.7947	3.5801	0.1	1.3868e-004
222	4.7947	2.3301	0.1	2.702e-004
223	5.4253	3.7658	0.1	3.1509e-004
224	5.0099	2.3376	0.1	2.9498e-004
225	5.2667	4.75	0.1	1.3436e-004
226	5.2667	5.5	0.1	8.7214e-005
227	5.2667	5.	5.e-002	1.1826e-005
228	5.2667	4.25	0.1	3.1094e-004
229	5.2667	4.5	5.e-002	1.232e-005
230	5.1833	4.	0.1	4.2346e-004
231	5.2667	4.	5.e-002	6.0201e-005
232	5.1	4.25	0.1	2.9356e-004
233	5.1	4.	5.e-002	4.2242e-005
234	5.1	4.75	0.1	1.311e-004
235	5.1	4.5	5.e-002	6.7221e-006
236	5.1	5.5	0.1	1.151e-004
237	5.1	5.	5.e-002	9.0096e-006
238	5.2667	1.25	0.1	1.3085e-004
239	5.2667	0.5	0.1	7.6936e-005
240	5.2667	1.	5.e-002	6.5189e-006
241	5.2667	1.75	0.1	2.6919e-004
242	5.2667	1.5	5.e-002	6.3713e-006
243	5.1833	2.	0.1	3.6712e-004
244	5.2667	2.	5.e-002	2.2843e-005
245	5.1	1.75	0.1	2.6929e-004
246	5.1	2.	5.e-002	1.4573e-005
247	5.1	1.25	0.1	1.15e-004
248	5.1	1.5	5.e-002	1.6492e-005
249	5.1	0.5	0.1	8.7593e-005
250	5.1	1.	5.e-002	1.0343e-005
251	6.4375	6.	0.1	5.7283e-005
252	5.2667	6.	5.e-002	2.4991e-006
253	8.7792	6.	0.1	5.2082e-005
254	7.6083	6.	5.e-002	2.8811e-006
255	12.292	6.	0.1	3.802e-005
256	9.95	6.	5.e-002	1.2057e-006
257	16.975	6.	0.1	1.9257e-005
258	14.633	6.	5.e-002	2.2549e-007
259	21.658	6.	0.1	6.9532e-006
260	19.317	6.	5.e-002	3.2835e-007
261	24.	4.5	0.1	3.2726e-006
262	24.	6.	5.e-002	4.5105e-007
263	24.	1.5	0.1	3.3131e-006
264	24.	3.	5.e-002	2.4744e-007
265	1.3113e-014	1.5	0.1	1.2323e-004
266	3.9339e-014	4.5	0.1	1.1722e-004
267	2.6581e-014	3.	5.e-002	6.9341e-006
268	21.658	0.	0.1	6.8321e-006
269	24.	0.	5.e-002	3.189e-007
270	16.975	0.	0.1	1.9289e-005
271	19.317	0.	5.e-002	2.9778e-007
272	12.292	0.	0.1	3.9169e-005
273	14.633	0.	5.e-002	5.5137e-007
274	8.7792	0.	0.1	5.2522e-005
275	9.95	0.	5.e-002	1.1622e-006
276	6.4375	0.	0.1	5.6101e-005
277	7.6083	0.	5.e-002	2.6901e-006
278	5.2667	0.	5.e-002	8.1839e-007
279	3.825	1.6378e-030	0.1	9.8335e-005
280	5.1	2.1837e-030	5.e-002	1.2378e-005
281	1.275	5.4593e-031	0.1	1.0921e-004
282	2.55	0.	5.e-002	7.0012e-006
283	0.	0.	5.e-002	1.8484e-005
284	1.275	6.	0.1	1.1133e-004
285	5.2451e-014	6.	5.e-002	2.0426e-005
286	3.825	6.	0.1	1.1615e-004
287	2.55	6.	5.e-002	6.7811e-006
288	5.1	6.	5.e-002	5.7318e-006
289	3.825	6.	0.	4.6919e-005
290	1.275	6.	0.	3.5279e-005
291	5.1	5.5	0.	3.5498e-005
292	3.9339e-014	4.5	0.	3.7233e-006
293	3.825	1.6378e-030	0.	4.1433e-005
294	1.275	5.4593e-031	0.	3.5817e-005
295	5.1	0.5	0.	3.2893e-005
296	1.3113e-014	1.5	0.	6.4655e-007
297	8.7792	0.	0.	2.0802e-005
298	6.4375	0.	0.	1.827e-005
299	12.292	0.	0.	1.3586e-005
300	16.975	0.	0.	6.4606e-006
301	21.658	0.	0.	2.9216e-006
302	5.2667	0.5	0.	2.4176e-005
303	24.	1.5	0.	6.7378e-007
304	24.	4.5	0.	5.0749e-007
305	21.658	6.	0.	2.8609e-006
306	16.975	6.	0.	7.1125e-006
307	12.292	6.	0.	1.3496e-005
308	8.7792	6.	0.	2.1109e-005
309	6.4375	6.	0.	1.8554e-005
310	5.2667	5.5	0.	2.9053e-005
311	5.1	1.25	0.	3.2685e-005
312	5.1	1.75	0.	8.0041e-005
313	5.1833	2.	0.	1.2281e-004
314	5.2667	1.25	0.	3.7499e-005
315	5.2667	1.75	0.	8.6471e-005
316	5.1	4.75	0.	7.9358e-005
317	5.1	4.25	0.	1.5028e-004
318	5.1833	4.	0.	1.6758e-004
319	5.2667	4.75	0.	4.738e-005
320	5.2667	4.25	0.	1.0565e-004
