Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
140	18.235	4.7539	0.1	1.041e-005
141	19.384	4.7872	0.1	6.9138e-006
142	20.538	4.7926	0.1	4.1576e-006
143	21.688	4.8044	0.1	2.1633e-006
144	22.845	4.7973	0.1	9.1085e-007
145	22.835	3.5989	0.1	1.0477e-006
146	22.841	2.3978	0.1	1.0443e-006
147	22.849	1.1973	0.1	9.0777e-007
148	21.69	1.1939	0.1	2.158e-006
149	20.544	1.1944	0.1	4.1456e-006
150	19.391	1.186	0.1	6.8869e-006
151	18.243	1.1869	0.1	1.0382e-005
152	17.097	1.1842	0.1	1.4635e-005
153	15.949	1.1813	0.1	1.9652e-005
154	14.804	1.1789	0.1	2.5428e-005
155	13.653	1.1779	0.1	3.1971e-005
156	12.508	1.1773	0.1	3.9271e-005
157	11.352	1.1754	0.1	4.7344e-005
158	10.201	1.1728	0.1	5.6198e-005
159	9.0238	1.1743	0.1	6.5835e-005
160	7.8333	1.176	0.1	7.6423e-005
161	6.6314	1.1807	0.1	8.7535e-005
162	5.4841	1.0956	0.1	9.8229e-005
163	4.4393	0.85459	0.1	1.0259e-004
164	5.1636	3.4753	0.1	1.0064e-004
165	3.0874	5.4601	0.1	8.7215e-005
166	5.0483	2.2494	0.1	1.0097e-004
167	3.7168	2.6253	0.1	1.4351e-004
168	2.9018	5.0646	0.1	8.1742e-005
169	3.3029	4.7227	0.1	1.2705e-004
170	0.94602	5.0113	0.1	1.113e-004
171	3.3259	0.60107	0.1	8.6315e-005
172	0.89407	0.8172	0.1	9.2376e-005
173	3.8507	3.442	0.1	1.3819e-004
174	4.0824	1.5742	0.1	1.1123e-004
175	2.8128	3.3907	0.1	1.6511e-004
176	2.7379	2.6196	0.1	1.7692e-004
177	2.1867	4.	0.	1.0536e-004
178	2.1867	4.5	0.	1.0916e-004
179	2.1867	5.	0.	9.5302e-005
180	2.1867	5.5	0.	1.6183e-005
181	2.02	4.	0.	2.9542e-004
182	2.02	5.5	0.	1.0685e-005
183	2.02	5.	0.	6.7554e-005
184	2.02	4.5	0.	1.1352e-004
185	2.1867	2.	0.	1.2433e-004
186	2.1867	1.5	0.	1.6076e-004
187	2.1867	1.	0.	3.7186e-005
188	2.1867	0.5	0.	2.6034e-005
189	2.02	2.	0.	1.5916e-004
190	2.02	0.5	0.	2.8628e-005
191	2.02	1.	0.	8.9263e-005
192	2.02	1.5	0.	1.4997e-004
193	2.1867	6.	0.	2.0359e-005
