Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
159	3.6677	5.4738	0.1	-33.566
160	1.8624	5.0342	0.1	110.5
161	3.6145	1.5411	0.1	-60.928
162	1.8448	1.9634	0.1	432.65
163	1.6728	0.77418	0.1	90.842
164	3.8153	4.6832	0.1	30.587
165	2.8267	5.5	0.1	224.59
166	2.8267	5.	0.1	114.53
167	2.8267	4.5	0.1	-119.43
168	2.8267	4.	0.1	718.8
169	2.66	4.	0.1	1171.4
170	2.66	4.5	0.1	-420.78
171	2.66	5.	0.1	-230.71
172	2.66	5.5	0.1	100.95
173	2.8267	0.5	0.1	208.88
174	2.8267	1.	0.1	119.24
175	2.8267	1.5	0.1	301.89
176	2.8267	2.	0.1	495.13
177	2.66	2.	0.1	1081.4
178	2.66	1.5	0.1	67.168
179	2.66	1.	0.1	225.57
180	2.66	0.5	0.1	161.73
181	2.8267	6.	0.1	154.65
182	3.9411	6.	0.1	54.615
183	5.0554	6.	0.1	-12.393
184	6.1698	6.	0.1	-29.914
185	7.2842	6.	0.1	-1.6272
186	8.3986	6.	0.1	4.9982
187	9.513	6.	0.1	1.2877
188	10.627	6.	0.1	0.5116
189	11.742	6.	0.1	0.22324
190	12.856	6.	0.1	-0.31794
191	13.971	6.	0.1	1.8406
192	15.085	6.	0.1	-1.3047
193	16.199	6.	0.1	-2.227
194	17.314	6.	0.1	1.375
195	18.428	6.	0.1	-0.66745
196	19.542	6.	0.1	-0.32326
197	20.657	6.	0.1	-0.4303
198	21.771	6.	0.1	-0.32673
199	22.886	6.	0.1	-0.33235
200	24.	6.	0.1	-0.79581
201	24.	4.8	0.1	0.59917
202	24.	3.6	0.1	1.3053
203	24.	2.4	0.1	1.3067
204	24.	1.2	0.1	0.58461
205	1.049e-014	1.2	0.1	835.19
206	2.0981e-014	2.4	0.1	981.39
207	3.1471e-014	3.6	0.1	1192.9
208	4.1961e-014	4.8	0.1	1084.4
209	24.	0.	0.1	-0.80921
