Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
92	3.4005	4.1636	0.1	-38.554
93	4.6987	3.7812	0.1	-112.45
94	4.6417	3.451	0.1	-317.54
95	6.7925	2.1502	0.1	17.074
96	6.0786	1.3991	0.1	-149.47
97	5.8422	0.99268	0.1	-184.52
98	4.6507	4.0247	0.1	-94.539
99	4.1388	4.7104	0.1	-153.27
100	3.8421	2.7893	0.1	29.608
101	4.1896	1.1724	0.1	-99.105
102	5.9474	4.8881	0.1	-168.48
103	20.642	3.588	0.1	-10.559
104	9.8989	3.5222	0.1	-10.254
105	10.777	3.588	0.1	0.36962
106	11.887	3.6075	0.1	-3.0945
107	12.975	3.6317	0.1	-6.0566
108	14.062	3.6329	0.1	-6.4366
109	15.162	3.658	0.1	-8.0183
110	16.234	3.6443	0.1	-9.0743
111	17.336	3.6079	0.1	-9.6628
112	18.435	3.5906	0.1	-10.195
113	19.538	3.589	0.1	-10.396
114	21.752	3.5966	0.1	-10.658
115	21.762	2.3974	0.1	-10.713
116	20.652	2.3952	0.1	-10.602
117	19.543	2.3885	0.1	-10.403
118	18.436	2.3834	0.1	-10.072
119	17.334	2.3998	0.1	-9.7242
120	16.233	2.422	0.1	-9.049
121	15.146	2.4359	0.1	-7.8575
122	14.069	2.4324	0.1	-5.7509
123	12.983	2.4187	0.1	-0.92743
124	11.876	2.4054	0.1	-3.4203
125	10.761	2.387	0.1	0.80331
126	8.4411	2.9351	0.1	-9.0133
127	9.568	2.5359	0.1	-4.2246
128	2.3181	2.2594	0.1	41.058
129	2.5177	3.471	0.1	41.421
130	7.0573	4.9979	0.1	-24.946
131	8.0065	4.6266	0.1	9.0312
132	9.213	4.3831	0.1	-5.3936
133	10.638	4.7835	0.1	-0.3582
134	11.82	4.806	0.1	-3.7819
135	12.938	4.8171	0.1	-5.4715
136	14.048	4.831	0.1	-6.1442
137	15.152	4.8367	0.1	-7.4069
138	16.255	4.8631	0.1	-7.7082
139	17.35	4.8045	0.1	-8.3825
140	18.444	4.7918	0.1	-8.523
141	19.547	4.7884	0.1	-8.5831
142	20.65	4.7943	0.1	-8.4629
143	21.767	4.7959	0.1	-8.2165
144	22.884	4.7974	0.1	-7.6387
145	22.879	3.6005	0.1	-10.663
146	22.875	2.3943	0.1	-10.675
147	1.17	2.3846	0.1	-298.07
148	1.209	3.5384	0.1	-294.55
149	22.881	1.196	0.1	-7.6464
150	21.775	1.1973	0.1	-8.2536
151	20.667	1.1974	0.1	-8.5553
152	19.559	1.1846	0.1	-8.5763
153	18.452	1.1844	0.1	-8.4889
154	17.342	1.1964	0.1	-8.2386
155	16.241	1.2092	0.1	-7.8264
156	15.153	1.2186	0.1	-6.8818
157	14.063	1.1926	0.1	-5.1072
158	12.977	1.2072	0.1	-1.1787
159	11.854	1.2119	0.1	-0.46508
160	10.688	1.2242	0.1	4.3611
161	9.477	1.3169	0.1	-5.1923
162	8.1073	1.5076	0.1	2.6514
163	7.0967	0.86721	0.1	2.6352
164	2.1229	1.1414	0.1	48.895
165	1.0758	1.1991	0.1	-268.83
166	1.1456	4.7256	0.1	-273.02
167	2.2285	4.7436	0.1	65.364
168	3.1094	5.0229	0.1	-27.306
169	7.1408	3.3046	0.1	-9.7162
170	3.0666	0.97886	0.1	-52.436
171	4.8714	3.1335	0.1	-219.4
172	4.0293	5.2884	0.1	-86.045
173	3.5506	2.0025	0.1	-29.307
174	5.574	3.6814	0.1	-392.67
175	6.2078	5.3646	0.1	-44.286
176	4.3589	4.3043	0.1	-258.33
177	6.0887	0.57458	0.1	-127.73
178	3.9826	0.69754	0.1	-64.299
179	6.3684	4.1591	0.1	-66.664
180	3.9765	3.6683	0.1	-71.157
181	5.1465	2.8199	0.1	-284.47
182	5.3898	2.7824	0.1	-461.82
255	5.1867	5.5	0.1	73.05
256	5.1867	5.	0.1	-119.32
257	5.1867	4.5	0.1	-11.729
258	5.1867	4.	0.1	-297.41
259	5.02	4.	0.1	-1341.3
260	5.02	4.5	0.1	-252.33
261	5.02	5.	0.1	43.503
262	5.02	5.5	0.1	107.54
263	5.1867	0.5	0.1	74.067
264	5.1867	1.	0.1	-146.79
265	5.1867	1.5	0.1	-555.39
266	5.1867	2.	0.1	512.57
267	5.02	2.	0.1	442.84
268	5.02	1.5	0.1	-57.794
269	5.02	1.	0.1	-258.48
270	5.02	0.5	0.1	104.83
271	5.1867	6.	0.1	82.103
272	6.2933	6.	0.1	-40.739
273	7.4	6.	0.1	-36.496
274	8.5067	6.	0.1	-28.643
275	9.6133	6.	0.1	-19.811
276	10.72	6.	0.1	-8.542
277	11.827	6.	0.1	-8.6172
278	12.933	6.	0.1	-3.8118
279	14.04	6.	0.1	-8.5027
280	15.147	6.	0.1	-9.3818
281	16.253	6.	0.1	-9.8893
282	17.36	6.	0.1	-10.123
283	18.467	6.	0.1	-10.894
284	19.573	6.	0.1	-10.837
285	20.68	6.	0.1	-10.422
286	21.787	6.	0.1	-9.3308
287	22.893	6.	0.1	-7.5858
288	24.	6.	0.1	-5.1457
289	24.	4.8	0.1	-6.7825
290	24.	3.6	0.1	-10.101
291	24.	2.4	0.1	-10.095
292	24.	1.2	0.1	-6.8021
293	1.049e-014	1.2	0.1	976.78
294	2.0981e-014	2.4	0.1	1024.6
295	3.1471e-014	3.6	0.1	1025.6
296	4.1961e-014	4.8	0.1	983.03
297	24.	0.	0.1	-5.1303
298	22.893	0.	0.1	-7.6298
299	21.787	0.	0.1	-9.2997
300	20.68	0.	0.1	-10.116
301	19.573	0.	0.1	-10.439
302	18.467	0.	0.1	-10.585
303	17.36	0.	0.1	-10.647
304	16.253	0.	0.1	-10.08
305	15.147	0.	0.1	-8.3016
306	14.04	0.	0.1	-6.2002
307	12.933	0.	0.1	-2.4542
308	11.827	0.	0.1	1.9994
309	10.72	0.	0.1	0.91358
310	9.6133	0.	0.1	4.4094
311	8.5067	0.	0.1	-37.412
312	7.4	0.	0.1	-25.924
313	6.2933	0.	0.1	15.075
314	5.1867	0.	0.1	7.5229
315	5.02	0.	0.1	105.78
316	4.016	-2.8146e-030	0.1	-71.058
317	3.012	-2.1109e-030	0.1	-29.798
