Node Number	X Location (in)	Y Location (in)	Z Location (in)	Total Deformation (in)
1385	13.333	0.	5.e-002	0.84522
1386	12.	0.	0.1	0.69878
1387	12.444	0.	5.e-002	0.74652
1388	11.111	0.	0.1	0.60663
1389	11.556	0.	5.e-002	0.6521
1390	10.222	0.	0.1	0.51935
1391	10.667	0.	5.e-002	0.56233
1392	9.3333	0.	0.1	0.4373
1393	9.7778	0.	5.e-002	0.47762
1394	8.4444	0.	0.1	0.36092
1395	8.8889	0.	5.e-002	0.39835
1396	7.5556	0.	0.1	0.2906
1397	8.	0.	5.e-002	0.32495
1398	6.6667	0.	0.1	0.22679
1399	7.1111	0.	5.e-002	0.25782
1400	5.7778	0.	0.1	0.16991
1401	6.2222	0.	5.e-002	0.19742
1402	4.8889	0.	0.1	0.12045
1403	5.3333	0.	5.e-002	0.1442
1404	4.	0.	0.1	7.8874e-002
1405	4.4444	0.	5.e-002	9.8613e-002
1406	3.1111	0.	0.1	4.5683e-002
1407	3.5556	0.	5.e-002	6.1165e-002
1408	2.2222	0.	0.1	2.139e-002
1409	2.6667	0.	5.e-002	3.2357e-002
1410	1.3333	0.	0.1	6.4569e-003
1411	1.7778	0.	5.e-002	1.2695e-002
1412	0.44444	0.	0.1	5.3471e-004
1413	0.88889	0.	5.e-002	2.4694e-003
1414	3.7465e-015	0.42857	0.1	0.
1415	0.	0.	5.e-002	0.
1416	1.124e-014	1.2857	0.1	0.
1417	7.5944e-015	0.85714	5.e-002	0.
1418	1.8733e-014	2.1429	0.1	0.
1419	1.5189e-014	1.7143	5.e-002	0.
1420	2.6226e-014	3.	0.1	0.
1421	2.2783e-014	2.5714	5.e-002	0.
1422	3.3719e-014	3.8571	0.1	0.
1423	3.0378e-014	3.4286	5.e-002	0.
1424	4.1212e-014	4.7143	0.1	0.
1425	3.7972e-014	4.2857	5.e-002	0.
1426	4.8705e-014	5.5714	0.1	0.
1427	4.5567e-014	5.1429	5.e-002	0.
1428	5.2451e-014	6.	5.e-002	0.
1429	4.1212e-014	4.7143	0.	0.
1430	4.8705e-014	5.5714	0.	0.
1431	3.3719e-014	3.8571	0.	0.
