Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
388,13.964,3.3894,0.1,2.993e-05,299.09,2.9817e-05,295.89,-9.5332e-06,0.23023,-1.043e-05,-6.5096,0.25397
389,14.633,3.3894,0.1,2.623e-05,262.12,2.6089e-05,258.15,-8.236e-06,0.24363,-9.3336e-06,-8.0032,0.27359
390,15.302,3.3894,0.1,2.2769e-05,227.53,2.2604e-05,222.96,-7.0361e-06,0.25846,-8.2831e-06,-9.1112,0.29345
391,15.971,3.3894,0.1,1.9552e-05,195.39,1.9368e-05,190.35,-5.9308e-06,0.26896,-7.2894e-06,-9.9386,0.31351
392,16.64,3.3894,0.1,1.6585e-05,165.73,1.6383e-05,160.33,-4.9181e-06,0.27691,-6.3599e-06,-10.556,0.33374
393,17.31,3.3894,0.1,1.387e-05,138.6,1.3653e-05,132.89,-3.9962e-06,0.28389,-5.5002e-06,-11.016,0.35412
394,17.979,3.3894,0.1,1.1412e-05,114.04,1.1179e-05,108.06,-3.165e-06,0.28809,-4.7135e-06,-11.347,0.37463
395,18.648,3.3894,0.1,9.2162e-06,92.098,8.9654e-06,85.846,-2.4245e-06,0.26726,-4.0063e-06,-11.618,0.39523
396,19.316,3.3894,0.1,7.2777e-06,72.727,7.0069e-06,66.235,-1.7679e-06,0.30466,-3.3756e-06,-11.775,0.4159
397,19.981,3.3611,0.1,5.6122e-06,56.083,5.3114e-06,49.235,-1.1954e-06,0.34528,-2.837e-06,-11.989,0.43652
398,20.655,3.4083,0.1,4.208e-06,42.051,3.8718e-06,34.822,-7.2588e-07,0.27683,-2.3601e-06,-12.002,0.45744
399,6.6221,2.7051,0.1,0.00011018,1101.1,0.00011179,1158.5,-2.5781e-05,124.86,-4.2324e-05,0.56032,0.065086
400,3.8894,2.3049,0.1,0.00013449,1343.9,0.00013599,1392.2,-3.6934e-05,92.85,-4.8274e-05,7.6485,0.021391
401,3.101,4.0636,0.1,0.00012592,1258.3,0.00012741,1324.4,-2.5532e-05,175.27,-5.1543e-05,-20.176,0.013656
402,3.6186,3.4566,0.1,0.00013671,1366.2,0.00013889,1444.7,-3.1049e-05,167.8,-5.2846e-05,4.022,0.018676
403,4.0841,2.9326,0.1,0.00015258,1524.8,0.00015506,1608.6,-3.7e-05,165.51,-5.724e-05,13.435,0.023709
404,2.5067,4.0096,0.1,0.00012604,1259.5,0.00012849,1368,-2.005e-05,251.88,-5.3248e-05,2.4458,0.0090579
405,2.5803,1.9413,0.1,0.00012643,1263.4,0.00012884,1365.2,-2.1834e-05,233.1,-5.2548e-05,2.3325,0.0095658
