Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent (von-Mises) Stress (psi)
164	1.2158	4.7829	0.1	5680.4
165	3.7312	4.7379	0.1	5053.7
166	5.204	4.687	0.1	4515.
167	6.2069	5.1992	0.1	3932.1
168	6.2481	3.4037	0.1	5054.1
169	5.8262	0.83672	0.1	4298.5
170	7.1807	5.3965	0.1	3171.8
171	9.2945	5.3708	0.1	2388.2
172	7.0074	4.713	0.1	4518.4
173	9.1404	0.53844	0.1	2686.1
174	6.9158	0.57993	0.1	3021.
175	9.705	3.3268	0.1	4371.8
176	6.3523	2.5837	0.1	5402.7
177	7.368	1.4779	0.1	4608.8
178	9.0079	1.3946	0.1	3837.7
179	8.6166	3.2622	0.1	5845.
180	7.4522	2.6951	0.1	5921.5
181	8.1667	5.5	0.1	1823.4
182	8.1667	5.	0.1	3080.1
183	8.1667	4.5	0.1	7305.4
184	8.1667	4.	0.1	9747.6
185	8.	4.	0.1	9660.8
186	8.	4.5	0.1	6128.2
187	8.	5.	0.1	4724.9
188	8.	5.5	0.1	1148.8
189	8.1667	0.5	0.1	1287.5
190	8.1667	1.	0.1	3274.1
191	8.1667	1.5	0.1	6526.2
192	8.1667	2.	0.1	9510.3
193	8.	2.	0.1	10069
194	8.	1.5	0.1	8209.3
195	8.	1.	0.1	3248.3
196	8.	0.5	0.1	2131.3
197	8.1667	6.	0.1	1247.8
198	9.2976	6.	0.1	2105.4
199	10.429	6.	0.1	2842.1
200	11.56	6.	0.1	2827.6
201	12.69	6.	0.1	2613.5
202	13.821	6.	0.1	2361.2
203	14.952	6.	0.1	2074.3
204	16.083	6.	0.1	1793.
205	17.214	6.	0.1	1518.6
206	18.345	6.	0.1	1253.2
207	19.476	6.	0.1	992.95
208	20.607	6.	0.1	741.33
209	21.738	6.	0.1	495.28
210	22.869	6.	0.1	260.46
211	24.	6.	0.1	130.28
212	24.	4.8	0.1	183.06
213	24.	3.6	0.1	228.73
214	24.	2.4	0.1	228.47
215	24.	1.2	0.1	182.96
216	1.049e-014	1.2	0.1	3918.8
217	2.0981e-014	2.4	0.1	4123.4
218	3.1471e-014	3.6	0.1	4128.9
219	4.1961e-014	4.8	0.1	3921.5
220	24.	0.	0.1	130.52
221	22.869	0.	0.1	259.8
222	21.738	0.	0.1	494.69
223	20.607	0.	0.1	741.99
224	19.476	0.	0.1	994.68
225	18.345	0.	0.1	1253.2
226	17.214	0.	0.1	1519.1
227	16.083	0.	0.1	1794.4
228	14.952	0.	0.1	2077.1
229	13.821	0.	0.1	2376.1
230	12.69	0.	0.1	2637.9
231	11.56	0.	0.1	2956.
232	10.429	0.	0.1	2737.5
233	9.2976	0.	0.1	2056.2
234	8.1667	0.	0.1	1455.5
235	8.	0.	0.1	1450.
236	6.8571	1.0399e-030	0.1	2798.2
237	5.7143	8.6656e-031	0.1	4245.5
238	4.5714	6.9325e-031	0.1	4892.
239	3.4286	5.1994e-031	0.1	5447.5
240	2.2857	3.4662e-031	0.1	5864.8
241	1.1429	1.7331e-031	0.1	5666.1
242	0.	0.	0.1	3023.1
243	3.937e-014	6.	0.1	3004.
244	1.1429	6.	0.1	5674.5
245	2.2857	6.	0.1	5908.4
246	3.4286	6.	0.1	5407.3
247	4.5714	6.	0.1	5032.9
248	5.7143	6.	0.1	4092.7
249	6.8571	6.	0.1	2765.2
250	8.	6.	0.1	1720.8
251	6.8571	6.	0.	2765.2
252	5.7143	6.	0.	4092.7
253	4.5714	6.	0.	5032.9
254	3.4286	6.	0.	5407.3
255	2.2857	6.	0.	5908.4
256	1.1429	6.	0.	5674.5
257	8.	6.	0.	1720.8
258	3.937e-014	6.	0.	3004.
259	1.1429	1.7331e-031	0.	5666.1
260	2.2857	3.4662e-031	0.	5864.8
261	3.4286	5.1994e-031	0.	5447.5
262	4.5714	6.9325e-031	0.	4892.
263	5.7143	8.6656e-031	0.	4245.5
264	6.8571	1.0399e-030	0.	2798.2
265	8.	0.	0.	1450.
266	0.	0.	0.	3023.1
267	9.2976	0.	0.	2056.2
268	10.429	0.	0.	2737.5
269	11.56	0.	0.	2956.
270	12.69	0.	0.	2637.9
271	13.821	0.	0.	2376.1
272	14.952	0.	0.	2077.1
273	16.083	0.	0.	1794.4
274	17.214	0.	0.	1519.1
275	18.345	0.	0.	1253.2
276	19.476	0.	0.	994.68
277	20.607	0.	0.	741.99
278	21.738	0.	0.	494.69
279	22.869	0.	0.	259.8
280	8.1667	0.	0.	1455.5
281	24.	0.	0.	130.52
282	4.1961e-014	4.8	0.	3921.5
283	3.1471e-014	3.6	0.	4128.9
284	2.0981e-014	2.4	0.	4123.4
285	1.049e-014	1.2	0.	3918.8
286	24.	1.2	0.	182.96
287	24.	2.4	0.	228.47
288	24.	3.6	0.	228.73
289	24.	4.8	0.	183.06
290	24.	6.	0.	130.28
291	22.869	6.	0.	260.46
292	21.738	6.	0.	495.28
293	20.607	6.	0.	741.33
294	19.476	6.	0.	992.95
295	18.345	6.	0.	1253.2
296	17.214	6.	0.	1518.6
297	16.083	6.	0.	1793.
298	14.952	6.	0.	2074.3
299	13.821	6.	0.	2361.2
300	12.69	6.	0.	2613.5
301	11.56	6.	0.	2827.6
302	10.429	6.	0.	2842.1
303	9.2976	6.	0.	2105.4
304	8.1667	6.	0.	1247.8
305	8.	1.5	0.	8209.3
306	8.	1.	0.	3248.3
307	8.	0.5	0.	2131.3
308	8.	2.	0.	10069
309	8.1667	0.5	0.	1287.5
310	8.1667	1.	0.	3274.1
311	8.1667	1.5	0.	6526.2
312	8.1667	2.	0.	9510.3
313	8.	4.5	0.	6128.2
314	8.	5.	0.	4724.9
315	8.	5.5	0.	1148.8
316	8.	4.	0.	9660.8
317	8.1667	5.5	0.	1823.4
318	8.1667	5.	0.	3080.1
319	8.1667	4.5	0.	7305.4
320	8.1667	4.	0.	9747.6
321	6.9023	2.6394	0.	5557.6
322	8.0554	2.669	0.	5593.4
323	7.4569	3.0097	0.	5701.1
324	7.4522	2.6951	5.e-002	320.11
325	7.7261	2.3476	0.	7955.5
326	9.1608	3.2945	0.	4993.6
327	8.6376	2.9526	0.	5537.8
328	8.039	3.2933	0.	5665.3
329	8.6166	3.2622	5.e-002	411.93
330	8.3916	3.6311	0.	7713.5
331	9.5289	1.0862	0.	3235.2
332	8.9197	1.2003	0.	2998.7
333	9.2824	1.6196	0.	3720.6
334	9.0079	1.3946	5.e-002	538.03
335	8.5873	1.4473	0.	4544.1
336	7.2122	1.2816	0.	3966.
337	7.0779	1.7246	0.	4551.
338	7.368	1.4779	5.e-002	562.32
339	7.684	1.489	0.	5848.6
340	6.3002	2.9937	0.	5217.1
341	5.7159	2.4049	0.	4926.8
342	6.57	2.2775	0.	4876.7
343	6.3523	2.5837	5.e-002	443.58
344	10.367	3.4909	0.	3646.6
345	9.5192	3.6278	0.	4093.5
346	9.7391	2.9373	0.	4258.8
347	9.705	3.3268	5.e-002	376.27
348	6.371	0.70833	0.	3640.
349	6.9861	0.83259	0.	3174.3
350	6.9158	0.57993	5.e-002	198.95
351	6.8865	0.28997	0.	2894.6
352	7.4579	0.53997	0.	2461.3
353	9.5952	0.65817	0.	2620.2
354	8.9859	0.77221	0.	2518.9
355	9.1404	0.53844	5.e-002	184.27
356	9.219	0.26922	0.	2356.3
357	8.6536	0.51922	0.	1903.2
358	6.6071	4.9561	0.	4194.9
359	7.1859	4.8779	0.	3589.6
360	6.7503	4.418	0.	4561.4
361	7.0074	4.713	5.e-002	694.29
362	7.5037	4.6065	0.	4776.3
363	9.8008	5.2302	0.	2667.1
364	9.2068	5.0926	0.	2649.
365	9.2945	5.3708	5.e-002	136.83
366	9.296	5.6854	0.	2238.9
367	8.7306	5.4354	0.	2004.9
368	6.6938	5.2979	0.	3461.3
369	7.2726	5.2196	0.	2981.9
370	7.1807	5.3965	5.e-002	317.43
371	7.0189	5.6983	0.	2900.9
372	7.5903	5.4483	0.	2088.1
373	5.3159	0.97382	0.	4519.7
374	5.9884	1.1716	0.	4521.9
375	5.8262	0.83672	5.e-002	98.731
376	5.7703	0.41836	0.	4270.6
377	5.666	3.4273	0.	4826.2
378	6.3707	3.7633	0.	4828.
379	6.8548	3.364	0.	5405.6
380	6.2481	3.4037	5.e-002	155.39
381	5.7054	4.9431	0.	4220.1
382	6.2069	5.1992	5.e-002	198.58
383	5.9606	5.5996	0.	4007.9
384	4.4676	4.7125	0.	4782.3
385	5.144	4.069	0.	4556.2
386	5.8486	4.405	0.	4561.1
387	5.204	4.687	5.e-002	67.398
388	4.8877	5.3435	0.	4771.5
389	3.7751	4.1256	0.	4958.
390	3.0886	4.7515	0.	5147.
391	3.7312	4.7379	5.e-002	12.685
392	3.5799	5.369	0.	5229.8
393	1.2284	4.1879	0.	5811.4
394	1.8309	4.774	0.	5439.4
395	1.2158	4.7829	5.e-002	104.25
396	1.1793	5.3914	0.	5633.9
397	0.60789	4.7914	0.	4730.6
398	1.777	1.2063	0.	5449.7
399	1.2025	1.8092	0.	5806.8
400	1.1811	1.2087	5.e-002	102.69
401	1.162	0.60433	0.	5625.1
402	0.59055	1.2043	0.	4720.8
403	2.9798	1.1946	0.	5187.9
404	2.4167	1.7987	0.	5168.6
405	2.3728	1.204	5.e-002	59.335
406	2.3293	0.60199	0.	5567.6
407	4.1962	1.1481	0.	4918.2
408	3.6595	1.7672	0.	4977.5
409	3.5867	1.1853	5.e-002	39.644
410	3.5076	0.59265	0.	5272.
411	4.9426	1.6684	0.	4596.
412	4.8057	1.1109	5.e-002	66.969
413	4.6885	0.55546	0.	4817.5
414	10.475	1.0368	0.	2823.4
415	10.05	0.7779	5.e-002	130.89
416	10.239	0.38895	0.	2697.7
417	11.637	1.249	0.	2854.
418	10.957	1.8509	0.	2988.6
419	10.228	1.5702	0.	3276.4
420	10.899	1.2958	5.e-002	64.588
421	11.229	0.64789	0.	2966.2
422	13.015	1.2062	0.	2541.9
423	12.338	1.7906	0.	2707.5
424	12.374	1.2023	5.e-002	16.724
425	12.532	0.60115	0.	2681.5
426	14.258	1.2109	0.	2215.3
427	13.62	1.8032	0.	2359.8
428	13.656	1.2101	5.e-002	19.276
429	13.739	0.60507	0.	2367.3
430	15.445	1.2157	0.	1927.8
431	14.841	1.8102	0.	2066.4
432	14.86	1.2116	5.e-002	21.496
433	14.906	0.60579	0.	2073.1
434	16.604	1.2219	0.	1647.7
435	16.015	1.8233	0.	1780.9
436	16.03	1.2197	5.e-002	20.902
437	16.056	0.60987	0.	1788.5
438	17.747	1.2215	0.	1379.
439	17.167	1.8296	0.	1509.
440	17.179	1.224	5.e-002	20.469
441	17.197	0.61199	0.	1513.9
442	18.884	1.2137	0.	1119.4
443	18.307	1.8235	0.	1246.
444	18.315	1.219	5.e-002	19.836
445	18.33	0.60948	0.	1249.
446	20.023	1.2037	0.	867.69
447	19.448	1.8099	0.	991.52
448	19.453	1.2085	5.e-002	19.441
449	19.465	0.60424	0.	991.68
450	21.162	1.1966	0.	625.61
451	20.589	1.7982	0.	746.81
452	20.593	1.1989	5.e-002	18.616
453	20.6	0.59945	0.	741.1
454	22.297	1.1948	0.	397.64
455	21.724	1.7961	0.	515.49
456	21.73	1.1942	5.e-002	17.616
457	21.734	0.59712	0.	498.89
458	22.859	1.7946	0.	304.92
459	22.864	1.1954	5.e-002	18.425
460	22.866	0.59771	0.	272.53
461	23.432	1.1977	0.	234.
462	1.2325	3.0013	0.	5965.9
463	1.8759	3.5864	0.	5486.8
464	1.241	3.5929	5.e-002	52.189
465	0.62048	3.5964	0.	4969.
466	1.8423	2.4016	0.	5503.
467	1.224	2.4098	5.e-002	52.21
468	0.61199	2.4049	0.	4968.9
469	22.856	2.998	0.	321.27
470	22.287	2.3959	0.	421.46
471	22.855	2.3937	5.e-002	18.49
472	23.427	2.3969	0.	272.16
473	22.857	4.2055	0.	305.46
474	22.283	3.5991	0.	422.28
475	22.856	3.6022	5.e-002	18.416
476	23.428	3.6011	0.	272.12
477	22.291	4.803	0.	398.99
478	22.858	4.8089	5.e-002	18.507
479	23.429	4.8044	0.	234.67
480	22.863	5.4044	0.	273.38
481	21.154	4.7974	0.	626.9
482	21.717	4.1966	0.	517.05
483	21.724	4.7972	5.e-002	17.508
484	21.731	5.3986	0.	499.93
485	20.02	4.8026	0.	867.56
486	20.581	4.1951	0.	748.03
487	20.584	4.7977	5.e-002	18.284
488	20.596	5.3988	0.	741.34
489	18.894	4.821	0.	1117.4
490	19.447	4.2093	0.	991.06
491	19.456	4.8075	5.e-002	19.384
492	19.466	5.4037	0.	990.17
493	17.757	4.8282	0.	1377.7
494	18.318	4.2295	0.	1244.5
495	18.332	4.8346	5.e-002	19.808
496	18.339	5.4173	0.	1247.7
497	16.606	4.8167	0.	1647.6
498	17.172	4.2244	0.	1508.3
499	17.182	4.8217	5.e-002	20.594
500	17.198	5.4109	0.	1513.7
501	15.45	4.8034	0.	1924.8
502	16.015	4.2138	0.	1781.1
503	16.03	4.8117	5.e-002	21.036
504	16.057	5.4059	0.	1787.9
505	14.282	4.7877	0.	2208.2
506	14.846	4.2005	0.	2062.
507	14.869	4.7951	5.e-002	21.208
508	14.911	5.3975	0.	2068.9
509	13.103	4.7809	0.	2498.6
510	13.652	4.1827	0.	2351.3
511	13.695	4.7804	5.e-002	18.79
512	13.758	5.3902	0.	2355.3
513	11.97	4.8287	0.	2763.7
514	12.434	4.1763	0.	2651.5
515	12.511	4.7815	5.e-002	32.907
516	12.601	5.3907	0.	2628.7
517	10.868	4.9828	0.	2931.8
518	11.229	4.2654	0.	2899.3
519	11.429	4.8759	5.e-002	27.605
520	11.494	5.438	0.	2854.7
521	10.188	4.733	0.	3189.1
522	10.307	5.0896	5.e-002	62.641
523	10.368	5.5448	0.	2913.3
524	4.4515	3.4821	0.	4734.
525	5.0817	2.8384	0.	4532.7
526	5.0839	3.4509	5.e-002	35.259
527	3.165	3.5466	0.	4956.8
528	3.7757	2.9312	0.	4865.2
529	3.8191	3.5133	5.e-002	44.946
530	2.4857	2.9867	0.	5054.7
531	2.4784	4.1725	0.	5137.7
532	2.5109	3.58	5.e-002	80.924
533	3.0964	2.3713	0.	4967.8
534	2.4605	2.3935	5.e-002	76.134
535	4.4059	2.2875	0.	4662.1
536	3.7323	2.349	5.e-002	23.222
537	11.658	2.3924	0.	2843.8
538	11.022	3.0305	0.	2961.
539	10.394	2.4769	0.	3577.
540	11.014	2.406	5.e-002	78.466
541	12.942	2.3876	0.	2525.3
542	12.329	2.975	0.	2673.7
543	12.301	2.3789	5.e-002	10.248
544	14.203	2.4025	0.	2211.8
545	13.596	2.9906	0.	2356.2
546	13.584	2.3962	5.e-002	28.59
547	15.411	2.4179	0.	1920.6
548	14.823	3.0074	0.	2060.8
549	14.822	2.4088	5.e-002	23.346
550	16.577	2.4311	0.	1643.8
