Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
141	20.584	4.7977	0.1	7.4557e-005
142	21.724	4.7972	0.1	5.0947e-005
143	22.858	4.8089	0.1	2.9172e-005
144	22.856	3.6022	0.1	3.2189e-005
145	22.855	2.3937	0.1	3.2205e-005
146	1.224	2.4098	0.1	5.9781e-004
147	1.241	3.5929	0.1	5.9729e-004
148	22.864	1.1954	0.1	2.905e-005
149	21.73	1.1942	0.1	5.0804e-005
150	20.593	1.1989	0.1	7.4443e-005
151	19.453	1.2085	0.1	9.9236e-005
152	18.315	1.219	0.1	1.2482e-004
153	17.179	1.224	0.1	1.5119e-004
154	16.03	1.2197	0.1	1.7859e-004
155	14.86	1.2116	0.1	2.0726e-004
156	13.656	1.2101	0.1	2.3612e-004
157	12.374	1.2023	0.1	2.7272e-004
158	10.899	1.2958	0.1	2.9861e-004
159	10.05	0.7779	0.1	2.6758e-004
160	4.8057	1.1109	0.1	4.7469e-004
161	3.5867	1.1853	0.1	5.1021e-004
162	2.3728	1.204	0.1	5.2882e-004
163	1.1811	1.2087	0.1	5.6703e-004
164	1.2158	4.7829	0.1	5.6844e-004
165	3.7312	4.7379	0.1	5.0572e-004
166	5.204	4.687	0.1	4.5182e-004
167	6.2069	5.1992	0.1	3.9348e-004
168	6.2481	3.4037	0.1	5.0576e-004
169	5.8262	0.83672	0.1	4.3015e-004
170	7.1807	5.3965	0.1	3.174e-004
171	9.2945	5.3708	0.1	2.3899e-004
172	7.0074	4.713	0.1	4.5216e-004
173	9.1404	0.53844	0.1	2.688e-004
174	6.9158	0.57993	0.1	3.023e-004
175	9.705	3.3268	0.1	4.3748e-004
176	6.3523	2.5837	0.1	5.4064e-004
177	7.368	1.4779	0.1	4.612e-004
178	9.0079	1.3946	0.1	3.8404e-004
179	8.6166	3.2622	0.1	5.849e-004
180	7.4522	2.6951	0.1	5.9256e-004
181	8.1667	5.5	0.1	1.8247e-004
182	8.1667	5.	0.1	3.0822e-004
183	8.1667	4.5	0.1	7.3104e-004
184	8.1667	4.	0.1	9.7543e-004
185	8.	4.	0.1	9.6675e-004
186	8.	4.5	0.1	6.1324e-004
