Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
1	7.4522	2.6951	0.	1.2111e-004
2	8.6166	3.2622	0.	1.2112e-004
3	9.0079	1.3946	0.	9.6083e-005
4	7.368	1.4779	0.	1.0634e-004
5	6.3523	2.5837	0.	1.3598e-004
6	9.705	3.3268	0.	9.2913e-005
7	6.9158	0.57993	0.	8.9879e-005
8	9.1404	0.53844	0.	7.3374e-005
9	7.0074	4.713	0.	1.0807e-004
10	9.2945	5.3708	0.	6.7748e-005
11	7.1807	5.3965	0.	7.8381e-005
12	5.8262	0.83672	0.	1.3626e-004
13	6.2481	3.4037	0.	1.2853e-004
14	6.2069	5.1992	0.	1.2386e-004
15	5.204	4.687	0.	1.3521e-004
16	3.7312	4.7379	0.	1.2903e-004
17	1.2158	4.7829	0.	5.6343e-005
18	1.1811	1.2087	0.	5.538e-005
19	2.3728	1.204	0.	1.1402e-004
20	3.5867	1.1853	0.	1.3554e-004
21	4.8057	1.1109	0.	1.4874e-004
22	10.05	0.7779	0.	6.7076e-005
23	10.899	1.2958	0.	9.0034e-005
24	12.374	1.2023	0.	7.8845e-005
25	13.656	1.2101	0.	7.4184e-005
26	14.86	1.2116	0.	6.6499e-005
27	16.03	1.2197	0.	5.8301e-005
28	17.179	1.224	0.	4.9592e-005
29	18.315	1.219	0.	4.0403e-005
30	19.453	1.2085	0.	3.1525e-005
31	20.593	1.1989	0.	2.2756e-005
32	21.73	1.1942	0.	1.4244e-005
33	22.864	1.1954	0.	4.7415e-006
34	1.241	3.5929	0.	2.0969e-005
35	1.224	2.4098	0.	2.0873e-005
36	22.855	2.3937	0.	3.2948e-006
37	22.856	3.6022	0.	3.3539e-006
38	22.858	4.8089	0.	4.7965e-006
39	21.724	4.7972	0.	1.4309e-005
40	20.584	4.7977	0.	2.2782e-005
41	19.456	4.8075	0.	3.1429e-005
42	18.332	4.8346	0.	4.0327e-005
43	17.182	4.8217	0.	4.9485e-005
44	16.03	4.8117	0.	5.8465e-005
45	14.869	4.7951	0.	6.6589e-005
46	13.695	4.7804	0.	7.4029e-005
47	12.511	4.7815	0.	8.0872e-005
48	11.429	4.8759	0.	9.2188e-005
49	10.307	5.0896	0.	9.5015e-005
50	5.0839	3.4509	0.	1.1606e-004
51	3.8191	3.5133	0.	9.7496e-005
52	2.5109	3.58	0.	6.6139e-005
53	2.4605	2.3935	0.	6.5828e-005
54	3.7323	2.349	0.	9.9836e-005
55	11.014	2.406	0.	7.7662e-005
