Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
143	8.372	1.0909	0.	-0.96808
144	8.372	0.90909	0.	-0.81178
145	8.372	0.72727	0.	-0.68214
146	8.372	0.54545	0.	-0.56898
147	8.372	0.36364	0.	-0.49328
148	8.372	0.18182	0.	6.8925e-002
149	8.19	5.8182	0.	0.43335
150	8.19	5.6364	0.	-0.27214
151	8.19	5.4545	0.	-0.36192
152	8.19	5.2727	0.	-0.56537
153	8.19	5.0909	0.	-0.72774
154	8.19	4.9091	0.	-0.90339
155	8.19	4.7273	0.	-1.052
156	8.19	4.5455	0.	-1.2553
157	8.19	4.3636	0.	-1.6605
158	8.19	4.1818	0.	-1.5148
159	8.19	4.	0.	-1.7406
160	8.19	3.8182	0.	-1.3991
161	8.19	3.6364	0.	-2.0059e-003
162	8.19	3.4545	0.	0.59915
163	8.19	3.2727	0.	0.73767
164	8.19	3.0909	0.	0.77796
165	8.19	2.9091	0.	0.77796
166	8.19	2.7273	0.	0.73767
167	8.19	2.5455	0.	0.59915
168	8.19	2.3636	0.	-2.0058e-003
169	8.19	2.1818	0.	-1.3991
170	8.19	2.	0.	-1.7406
171	8.19	1.8182	0.	-1.5148
172	8.19	1.6364	0.	-1.6605
173	8.19	1.4545	0.	-1.2553
174	8.19	1.2727	0.	-1.052
175	8.19	1.0909	0.	-0.90339
176	8.19	0.90909	0.	-0.72774
177	8.19	0.72727	0.	-0.56537
178	8.19	0.54545	0.	-0.36192
179	8.19	0.36364	0.	-0.27214
180	8.19	0.18182	0.	0.43335
181	8.008	5.8182	0.	0.47871
182	8.008	5.6364	0.	-0.17933
183	8.008	5.4545	0.	-0.20071
184	8.008	5.2727	0.	-0.40527
185	8.008	5.0909	0.	-0.54852
186	8.008	4.9091	0.	-0.69046
187	8.008	4.7273	0.	-0.82996
188	8.008	4.5455	0.	-0.95107
189	8.008	4.3636	0.	-1.0506
190	8.008	4.1818	0.	-1.2291
191	8.008	4.	0.	-1.2609
192	8.008	3.8182	0.	-1.2233
193	8.008	3.6364	0.	-1.138
194	8.008	3.4545	0.	-0.72226
195	8.008	3.2727	0.	-7.8218e-002
196	8.008	3.0909	0.	0.52705
197	8.008	2.9091	0.	0.52705
198	8.008	2.7273	0.	-7.8218e-002
199	8.008	2.5455	0.	-0.72226
200	8.008	2.3636	0.	-1.138
201	8.008	2.1818	0.	-1.2233
202	8.008	2.	0.	-1.2609
203	8.008	1.8182	0.	-1.2291
204	8.008	1.6364	0.	-1.0506
205	8.008	1.4545	0.	-0.95107
206	8.008	1.2727	0.	-0.82996
207	8.008	1.0909	0.	-0.69046
208	8.008	0.90909	0.	-0.54852
209	8.008	0.72727	0.	-0.40527
210	8.008	0.54545	0.	-0.20071
211	8.008	0.36364	0.	-0.17933
212	8.008	0.18182	0.	0.47871
213	7.826	5.8182	0.	0.37336
214	7.826	5.6364	0.	-0.1687
215	7.826	5.4545	0.	-0.12599
216	7.826	5.2727	0.	-0.30403
217	7.826	5.0909	0.	-0.42928
218	7.826	4.9091	0.	-0.55702
219	7.826	4.7273	0.	-0.68697
220	7.826	4.5455	0.	-0.84264
221	7.826	4.3636	0.	-1.0489
222	7.826	4.1818	0.	-1.3168
223	7.826	4.	0.	-1.7227
224	7.826	3.8182	0.	-2.4754
225	7.826	3.6364	0.	-6.0444
226	7.826	3.4545	0.	-27.189
227	7.826	3.2727	0.	-46.572
228	7.826	3.0909	0.	-55.527
229	7.826	2.9091	0.	-55.527
230	7.826	2.7273	0.	-46.572
231	7.826	2.5455	0.	-27.19
232	7.826	2.3636	0.	-6.0444
233	7.826	2.1818	0.	-2.4754
234	7.826	2.	0.	-1.7227
235	7.826	1.8182	0.	-1.3168
236	7.826	1.6364	0.	-1.0489
237	7.826	1.4545	0.	-0.84264
238	7.826	1.2727	0.	-0.68697
239	7.826	1.0909	0.	-0.55702
240	7.826	0.90909	0.	-0.42928
241	7.826	0.72727	0.	-0.30403
242	7.826	0.54545	0.	-0.12599
243	7.826	0.36364	0.	-0.1687
244	7.826	0.18182	0.	0.37336
245	7.644	5.8182	0.	0.25251
246	7.644	5.6364	0.	-0.16366
247	7.644	5.4545	0.	-7.8099e-002
248	7.644	5.2727	0.	-0.22609
249	7.644	5.0909	0.	-0.33409
250	7.644	4.9091	0.	-0.45606
251	7.644	4.7273	0.	-0.5921
252	7.644	4.5455	0.	-0.76794
253	7.644	4.3636	0.	-1.0216
254	7.644	4.1818	0.	-1.445
255	7.644	4.	0.	-2.4021
256	7.644	3.8182	0.	-7.9311
257	7.644	3.6364	0.	-39.782
258	7.644	3.4545	0.	-71.739
259	7.644	3.2727	0.	-92.632
260	7.644	3.0909	0.	-102.67
261	7.644	2.9091	0.	-102.67
262	7.644	2.7273	0.	-92.632
263	7.644	2.5455	0.	-71.74
264	7.644	2.3636	0.	-39.782
265	7.644	2.1818	0.	-7.9312
266	7.644	2.	0.	-2.4021
267	7.644	1.8182	0.	-1.445
268	7.644	1.6364	0.	-1.0216
269	7.644	1.4545	0.	-0.76794
270	7.644	1.2727	0.	-0.5921
271	7.644	1.0909	0.	-0.45606
272	7.644	0.90909	0.	-0.33409
273	7.644	0.72727	0.	-0.22609
274	7.644	0.54545	0.	-7.8098e-002
275	7.644	0.36364	0.	-0.16366
276	7.644	0.18182	0.	0.25251
277	7.462	5.8182	0.	0.15099
278	7.462	5.6364	0.	-0.155
279	7.462	5.4545	0.	-4.9694e-002
280	7.462	5.2727	0.	-0.1723
281	7.462	5.0909	0.	-0.26858
282	7.462	4.9091	0.	-0.38925
283	7.462	4.7273	0.	-0.53892
284	7.462	4.5455	0.	-0.75325
285	7.462	4.3636	0.	-1.112
286	7.462	4.1818	0.	-1.9195
287	7.462	4.	0.	-6.0978
288	7.462	3.8182	0.	-36.757
289	7.462	3.6364	0.	-75.037
290	7.462	3.4545	0.	-105.44
291	7.462	3.2727	0.	-125.85
292	7.462	3.0909	0.	-135.97
293	7.462	2.9091	0.	-135.97
294	7.462	2.7273	0.	-125.85
295	7.462	2.5455	0.	-105.44
296	7.462	2.3636	0.	-75.037
297	7.462	2.1818	0.	-36.757
298	7.462	2.	0.	-6.0978
299	7.462	1.8182	0.	-1.9195
300	7.462	1.6364	0.	-1.112
301	7.462	1.4545	0.	-0.75325
302	7.462	1.2727	0.	-0.53892
303	7.462	1.0909	0.	-0.38925
304	7.462	0.90909	0.	-0.26858
305	7.462	0.72727	0.	-0.1723
306	7.462	0.54545	0.	-4.9693e-002
307	7.462	0.36364	0.	-0.155
308	7.462	0.18182	0.	0.15099
309	7.28	5.8182	0.	8.0525e-002
310	7.28	5.6364	0.	-0.13918
311	7.28	5.4545	0.	-3.2549e-002
312	7.28	5.2727	0.	-0.13616
313	7.28	5.0909	0.	-0.22647
314	7.28	4.9091	0.	-0.35147
315	7.28	4.7273	0.	-0.52471
316	7.28	4.5455	0.	-0.81021
317	7.28	4.3636	0.	-1.4313
318	7.28	4.1818	0.	-4.2352
319	7.28	4.	0.	-29.383
320	7.28	3.8182	0.	-68.245
321	7.28	3.6364	0.	-103.44
322	7.28	3.4545	0.	-131.45
323	7.28	3.2727	0.	-150.65
324	7.28	3.0909	0.	-160.34
325	7.28	2.9091	0.	-160.34
326	7.28	2.7273	0.	-150.65
327	7.28	2.5455	0.	-131.45
328	7.28	2.3636	0.	-103.44
329	7.28	2.1818	0.	-68.245
330	7.28	2.	0.	-29.383
331	7.28	1.8182	0.	-4.2353
332	7.28	1.6364	0.	-1.4313
333	7.28	1.4545	0.	-0.81022
334	7.28	1.2727	0.	-0.52471
335	7.28	1.0909	0.	-0.35147
336	7.28	0.90909	0.	-0.22647
337	7.28	0.72727	0.	-0.13615
338	7.28	0.54545	0.	-3.2549e-002
339	7.28	0.36364	0.	-0.13918
340	7.28	0.18182	0.	8.0527e-002
341	7.098	5.8182	0.	3.8457e-002
342	7.098	5.6364	0.	-0.11851
343	7.098	5.4545	0.	-2.3896e-002
344	7.098	5.2727	0.	-0.11532
345	7.098	5.0909	0.	-0.20662
346	7.098	4.9091	0.	-0.34643
347	7.098	4.7273	0.	-0.57225
348	7.098	4.5455	0.	-1.0533
349	7.098	4.3636	0.	-3.0574
350	7.098	4.1818	0.	-23.093
351	7.098	4.	0.	-59.224
352	7.098	3.8182	0.	-95.082
353	7.098	3.6364	0.	-126.95
354	7.098	3.4545	0.	-152.48
355	7.098	3.2727	0.	-170.19
356	7.098	3.0909	0.	-179.21
357	7.098	2.9091	0.	-179.21
358	7.098	2.7273	0.	-170.19
359	7.098	2.5455	0.	-152.48
360	7.098	2.3636	0.	-126.95
361	7.098	2.1818	0.	-95.082
362	7.098	2.	0.	-59.224
363	7.098	1.8182	0.	-23.093
364	7.098	1.6364	0.	-3.0574
365	7.098	1.4545	0.	-1.0533
366	7.098	1.2727	0.	-0.57225
367	7.098	1.0909	0.	-0.34643
368	7.098	0.90909	0.	-0.20661
369	7.098	0.72727	0.	-0.11532
370	7.098	0.54545	0.	-2.3896e-002
371	7.098	0.36364	0.	-0.11851
372	7.098	0.18182	0.	3.8458e-002
373	6.916	5.8182	0.	1.8544e-002
374	6.916	5.6364	0.	-9.5674e-002
375	6.916	5.4545	0.	-2.2545e-002
376	6.916	5.2727	0.	-0.10957
377	6.916	5.0909	0.	-0.21328
378	6.916	4.9091	0.	-0.39572
379	6.916	4.7273	0.	-0.78604
380	6.916	4.5455	0.	-2.4418
381	6.916	4.3636	0.	-19.65
382	6.916	4.1818	0.	-51.861
383	6.916	4.	0.	-85.859
384	6.916	3.8182	0.	-118.47
385	6.916	3.6364	0.	-147.31
386	6.916	3.4545	0.	-170.5
387	6.916	3.2727	0.	-186.67
388	6.916	3.0909	0.	-194.95
389	6.916	2.9091	0.	-194.95
390	6.916	2.7273	0.	-186.67
391	6.916	2.5455	0.	-170.5
392	6.916	2.3636	0.	-147.31
393	6.916	2.1818	0.	-118.47
394	6.916	2.	0.	-85.859
395	6.916	1.8182	0.	-51.861
396	6.916	1.6364	0.	-19.65
397	6.916	1.4545	0.	-2.4418
398	6.916	1.2727	0.	-0.78604
399	6.916	1.0909	0.	-0.39572
400	6.916	0.90909	0.	-0.21327
401	6.916	0.72727	0.	-0.10957
402	6.916	0.54545	0.	-2.2544e-002
403	6.916	0.36364	0.	-9.5673e-002
404	6.916	0.18182	0.	1.8546e-002
405	6.734	5.8182	0.	1.3952e-002
406	6.734	5.6364	0.	-7.3764e-002
407	6.734	5.4545	0.	-3.017e-002
408	6.734	5.2727	0.	-0.12535
409	6.734	5.0909	0.	-0.27166
410	6.734	4.9091	0.	-0.61968
411	6.734	4.7273	0.	-2.3883
412	6.734	4.5455	0.	-19.281
413	6.734	4.3636	0.	-47.503
414	6.734	4.1818	0.	-78.494
415	6.734	4.	0.	-109.9
416	6.734	3.8182	0.	-139.65
417	6.734	3.6364	0.	-165.86
418	6.734	3.4545	0.	-186.93
419	6.734	3.2727	0.	-201.64
420	6.734	3.0909	0.	-209.19
421	6.734	2.9091	0.	-209.19
422	6.734	2.7273	0.	-201.64
423	6.734	2.5455	0.	-186.93
424	6.734	2.3636	0.	-165.86
425	6.734	2.1818	0.	-139.65
426	6.734	2.	0.	-109.9
