Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
1	11.3	2.1818	0.	4.8298e-004
2	11.3	2.3636	0.	3.8825e-004
3	11.3	2.5455	0.	3.378e-004
4	11.3	2.7273	0.	3.1237e-004
5	11.3	2.9091	0.	3.012e-004
6	11.3	3.0909	0.	3.012e-004
7	11.3	3.2727	0.	3.1237e-004
8	11.3	3.4545	0.	3.378e-004
9	11.3	3.6364	0.	3.8825e-004
10	11.3	3.8182	0.	4.8298e-004
11	11.467	2.1818	0.	4.5936e-004
12	11.467	2.3636	0.	3.796e-004
13	11.467	2.5455	0.	3.3121e-004
14	11.467	2.7273	0.	3.0681e-004
15	11.467	2.9091	0.	2.9597e-004
16	11.467	3.0909	0.	2.9597e-004
17	11.467	3.2727	0.	3.0681e-004
18	11.467	3.4545	0.	3.3121e-004
19	11.467	3.6364	0.	3.796e-004
20	11.467	3.8182	0.	4.5936e-004
21	11.118	5.8182	0.	3.0128e-005
22	11.118	5.6364	0.	4.9892e-005
23	11.118	5.4545	0.	7.7629e-005
24	11.118	5.2727	0.	1.0976e-004
25	11.118	5.0909	0.	1.4663e-004
26	11.118	4.9091	0.	1.8975e-004
27	11.118	4.7273	0.	2.4185e-004
28	11.118	4.5455	0.	3.0779e-004
29	11.118	4.3636	0.	3.9847e-004
30	11.118	4.1818	0.	5.0397e-004
31	11.118	4.	0.	5.0442e-004
32	11.118	3.8182	0.	3.7425e-004
33	11.118	3.6364	0.	3.3984e-004
34	11.118	3.4545	0.	3.0965e-004
35	11.118	3.2727	0.	2.945e-004
36	11.118	3.0909	0.	2.87e-004
37	11.118	2.9091	0.	2.87e-004
38	11.118	2.7273	0.	2.945e-004
39	11.118	2.5455	0.	3.0965e-004
40	11.118	2.3636	0.	3.3984e-004
41	11.118	2.1818	0.	3.7425e-004
42	11.118	2.	0.	5.0442e-004
43	11.118	1.8182	0.	5.0397e-004
44	11.118	1.6364	0.	3.9847e-004
45	11.118	1.4545	0.	3.0779e-004
46	11.118	1.2727	0.	2.4185e-004
47	11.118	1.0909	0.	1.8975e-004
48	11.118	0.90909	0.	1.4663e-004
49	11.118	0.72727	0.	1.0976e-004
50	11.118	0.54545	0.	7.7629e-005
51	11.118	0.36364	0.	4.9892e-005
52	11.118	0.18182	0.	3.0128e-005
53	10.935	5.8182	0.	3.8607e-005
54	10.935	5.6364	0.	4.9519e-005
55	10.935	5.4545	0.	6.9272e-005
56	10.935	5.2727	0.	9.4538e-005
57	10.935	5.0909	0.	1.2426e-004
58	10.935	4.9091	0.	1.584e-004
59	10.935	4.7273	0.	1.9759e-004
60	10.935	4.5455	0.	2.4062e-004
61	10.935	4.3636	0.	2.8471e-004
62	10.935	4.1818	0.	3.1298e-004
63	10.935	4.	0.	2.9508e-004
64	10.935	3.8182	0.	2.7875e-004
65	10.935	3.6364	0.	2.7128e-004
66	10.935	3.4545	0.	2.6638e-004
67	10.935	3.2727	0.	2.6176e-004
68	10.935	3.0909	0.	2.5925e-004
69	10.935	2.9091	0.	2.5925e-004
70	10.935	2.7273	0.	2.6176e-004
71	10.935	2.5455	0.	2.6638e-004
72	10.935	2.3636	0.	2.7128e-004
73	10.935	2.1818	0.	2.7875e-004
74	10.935	2.	0.	2.9508e-004
75	10.935	1.8182	0.	3.1298e-004
76	10.935	1.6364	0.	2.8471e-004
77	10.935	1.4545	0.	2.4062e-004
78	10.935	1.2727	0.	1.9759e-004
79	10.935	1.0909	0.	1.584e-004
80	10.935	0.90909	0.	1.2426e-004
81	10.935	0.72727	0.	9.4538e-005
82	10.935	0.54545	0.	6.9272e-005
83	10.935	0.36364	0.	4.9519e-005
84	10.935	0.18182	0.	3.8607e-005
85	10.753	5.8182	0.	5.0624e-005
86	10.753	5.6364	0.	5.9392e-005
87	10.753	5.4545	0.	7.435e-005
88	10.753	5.2727	0.	9.4182e-005
89	10.753	5.0909	0.	1.1788e-004
90	10.753	4.9091	0.	1.4465e-004
91	10.753	4.7273	0.	1.7333e-004
92	10.753	4.5455	0.	2.0182e-004
93	10.753	4.3636	0.	2.2454e-004
94	10.753	4.1818	0.	2.3407e-004
95	10.753	4.	0.	2.3144e-004
96	10.753	3.8182	0.	2.2527e-004
97	10.753	3.6364	0.	2.2436e-004
98	10.753	3.4545	0.	2.2625e-004
99	10.753	3.2727	0.	2.2737e-004
100	10.753	3.0909	0.	2.278e-004
101	10.753	2.9091	0.	2.278e-004
102	10.753	2.7273	0.	2.2737e-004
103	10.753	2.5455	0.	2.2625e-004
104	10.753	2.3636	0.	2.2436e-004
105	10.753	2.1818	0.	2.2527e-004
106	10.753	2.	0.	2.3144e-004
107	10.753	1.8182	0.	2.3407e-004
108	10.753	1.6364	0.	2.2454e-004
109	10.753	1.4545	0.	2.0182e-004
