Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
1,20.5,2.1818,0,0.00028741,2872.1,0.00013356,500.31,7.2857e-05,44.216,-0.00027542,-2572.6,1.7713
2,20.5,2.3636,0,0.00022222,2220.7,0.00010086,333.46,5.5642e-05,-6.3129,-0.0002147,-2037.5,1.7716
3,20.5,2.5455,0,0.00019594,1958,8.7371e-05,277.62,5.0414e-05,-0.064139,-0.00018973,-1804.4,1.7717
4,20.5,2.7273,0,0.00018238,1822.6,8.0663e-05,249.72,4.7323e-05,-0.78196,-0.00017685,-1685.1,1.7718
5,20.5,2.9091,0,0.00017663,1765.1,7.7778e-05,237.76,4.6074e-05,-0.46024,-0.00017139,-1634.4,1.7719
6,20.5,3.0909,0,0.00017663,1765.1,7.7778e-05,237.76,4.6074e-05,-0.46024,-0.00017139,-1634.4,1.7719
7,20.5,3.2727,0,0.00018238,1822.6,8.0663e-05,249.72,4.7323e-05,-0.78195,-0.00017685,-1685.1,1.7718
8,20.5,3.4545,0,0.00019594,1958,8.7371e-05,277.62,5.0414e-05,-0.064138,-0.00018973,-1804.4,1.7717
9,20.5,3.6364,0,0.00022222,2220.7,0.00010086,333.46,5.5642e-05,-6.3129,-0.0002147,-2037.5,1.7716
10,20.5,3.8182,0,0.00028741,2872.1,0.00013356,500.31,7.2857e-05,44.216,-0.00027542,-2572.6,1.7713
11,20.667,2.1818,0,0.00027586,2756.7,0.00011405,271.38,7.6029e-05,-14.277,-0.00027037,-2617,1.7944
12,20.667,2.3636,0,0.00021816,2180.1,9.3949e-05,262.78,5.7852e-05,-8.4373,-0.00021256,-2040.2,1.7946
13,20.667,2.5455,0,0.00019119,1910.6,8.2098e-05,231.71,5.1281e-05,0.16987,-0.00018619,-1784.1,1.7948
14,20.667,2.7273,0,0.00017757,1774.4,7.6255e-05,214.68,4.7562e-05,-0.90606,-0.00017294,-1657.7,1.7949
15,20.667,2.9091,0,0.00017174,1716.2,7.364e-05,206.5,4.6097e-05,-0.44869,-0.00016729,-1603.8,1.7949
16,20.667,3.0909,0,0.00017174,1716.2,7.364e-05,206.5,4.6097e-05,-0.44869,-0.00016729,-1603.8,1.7949
17,20.667,3.2727,0,0.00017757,1774.4,7.6255e-05,214.68,4.7562e-05,-0.90606,-0.00017294,-1657.7,1.7949
