Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
1	8.1	2.1818	0.	-1.4405e-003
2	8.1	2.3636	0.	-1.1428e-003
3	8.1	2.5455	0.	-1.0091e-003
4	8.1	2.7273	0.	-9.4018e-004
5	8.1	2.9091	0.	-9.1077e-004
6	8.1	3.0909	0.	-9.1077e-004
7	8.1	3.2727	0.	-9.4018e-004
8	8.1	3.4545	0.	-1.0091e-003
9	8.1	3.6364	0.	-1.1428e-003
10	8.1	3.8182	0.	-1.4405e-003
11	8.2667	2.1818	0.	-1.4322e-003
12	8.2667	2.3636	0.	-1.1392e-003
13	8.2667	2.5455	0.	-1.0043e-003
14	8.2667	2.7273	0.	-9.3506e-004
15	8.2667	2.9091	0.	-9.0548e-004
16	8.2667	3.0909	0.	-9.0548e-004
17	8.2667	3.2727	0.	-9.3506e-004
18	8.2667	3.4545	0.	-1.0043e-003
19	8.2667	3.6364	0.	-1.1392e-003
20	8.2667	3.8182	0.	-1.4322e-003
21	7.9159	5.8182	0.	-8.1754e-005
22	7.9159	5.6364	0.	-1.162e-004
23	7.9159	5.4545	0.	-1.5769e-004
24	7.9159	5.2727	0.	-2.031e-004
25	7.9159	5.0909	0.	-2.5384e-004
26	7.9159	4.9091	0.	-3.1275e-004
27	7.9159	4.7273	0.	-3.848e-004
28	7.9159	4.5455	0.	-4.792e-004
29	7.9159	4.3636	0.	-6.1588e-004
30	7.9159	4.1818	0.	-8.4621e-004
31	7.9159	4.	0.	-1.0787e-003
32	7.9159	3.8182	0.	-1.068e-003
33	7.9159	3.6364	0.	-1.0073e-003
34	7.9159	3.4545	0.	-9.3739e-004
35	7.9159	3.2727	0.	-8.9616e-004
36	7.9159	3.0909	0.	-8.7651e-004
37	7.9159	2.9091	0.	-8.7651e-004
38	7.9159	2.7273	0.	-8.9616e-004
39	7.9159	2.5455	0.	-9.3739e-004
40	7.9159	2.3636	0.	-1.0073e-003
41	7.9159	2.1818	0.	-1.068e-003
42	7.9159	2.	0.	-1.0787e-003
43	7.9159	1.8182	0.	-8.4621e-004
44	7.9159	1.6364	0.	-6.1588e-004
45	7.9159	1.4545	0.	-4.792e-004
46	7.9159	1.2727	0.	-3.848e-004
47	7.9159	1.0909	0.	-3.1275e-004
48	7.9159	0.90909	0.	-2.5384e-004
49	7.9159	0.72727	0.	-2.031e-004
50	7.9159	0.54545	0.	-1.5769e-004
51	7.9159	0.36364	0.	-1.162e-004
52	7.9159	0.18182	0.	-8.1754e-005
53	7.7318	5.8182	0.	-1.2739e-004
54	7.7318	5.6364	0.	-1.4628e-004
55	7.7318	5.4545	0.	-1.7682e-004
56	7.7318	5.2727	0.	-2.1468e-004
57	7.7318	5.0909	0.	-2.5918e-004
58	7.7318	4.9091	0.	-3.1155e-004
59	7.7318	4.7273	0.	-3.7472e-004
60	7.7318	4.5455	0.	-4.5208e-004
61	7.7318	4.3636	0.	-5.4962e-004
62	7.7318	4.1818	0.	-6.6052e-004
63	7.7318	4.	0.	-7.4939e-004
64	7.7318	3.8182	0.	-8.1478e-004
65	7.7318	3.6364	0.	-8.3561e-004
66	7.7318	3.4545	0.	-8.3191e-004
67	7.7318	3.2727	0.	-8.2121e-004
68	7.7318	3.0909	0.	-8.1435e-004
69	7.7318	2.9091	0.	-8.1435e-004
70	7.7318	2.7273	0.	-8.2121e-004
71	7.7318	2.5455	0.	-8.3191e-004
72	7.7318	2.3636	0.	-8.3561e-004
73	7.7318	2.1818	0.	-8.1478e-004
74	7.7318	2.	0.	-7.4939e-004
75	7.7318	1.8182	0.	-6.6052e-004
76	7.7318	1.6364	0.	-5.4962e-004
77	7.7318	1.4545	0.	-4.5208e-004
78	7.7318	1.2727	0.	-3.7472e-004
79	7.7318	1.0909	0.	-3.1155e-004
80	7.7318	0.90909	0.	-2.5918e-004
81	7.7318	0.72727	0.	-2.1468e-004
82	7.7318	0.54545	0.	-1.7682e-004
83	7.7318	0.36364	0.	-1.4628e-004
84	7.7318	0.18182	0.	-1.2739e-004
85	7.5477	5.8182	0.	-1.7521e-004
86	7.5477	5.6364	0.	-1.8903e-004
87	7.5477	5.4545	0.	-2.1255e-004
88	7.5477	5.2727	0.	-2.4389e-004
89	7.5477	5.0909	0.	-2.823e-004
90	7.5477	4.9091	0.	-3.279e-004
91	7.5477	4.7273	0.	-3.8131e-004
92	7.5477	4.5455	0.	-4.4311e-004
93	7.5477	4.3636	0.	-5.1026e-004
94	7.5477	4.1818	0.	-5.7763e-004
95	7.5477	4.	0.	-6.3746e-004
96	7.5477	3.8182	0.	-6.8452e-004
97	7.5477	3.6364	0.	-7.1807e-004
98	7.5477	3.4545	0.	-7.3511e-004
99	7.5477	3.2727	0.	-7.4168e-004
100	7.5477	3.0909	0.	-7.4346e-004
101	7.5477	2.9091	0.	-7.4346e-004
102	7.5477	2.7273	0.	-7.4168e-004
103	7.5477	2.5455	0.	-7.3511e-004
104	7.5477	2.3636	0.	-7.1807e-004
105	7.5477	2.1818	0.	-6.8452e-004
106	7.5477	2.	0.	-6.3746e-004
107	7.5477	1.8182	0.	-5.7763e-004
108	7.5477	1.6364	0.	-5.1026e-004
109	7.5477	1.4545	0.	-4.4311e-004
110	7.5477	1.2727	0.	-3.8131e-004
111	7.5477	1.0909	0.	-3.279e-004
112	7.5477	0.90909	0.	-2.823e-004
113	7.5477	0.72727	0.	-2.4389e-004
114	7.5477	0.54545	0.	-2.1255e-004
115	7.5477	0.36364	0.	-1.8903e-004
116	7.5477	0.18182	0.	-1.7521e-004
117	7.3636	5.8182	0.	-2.1951e-004
118	7.3636	5.6364	0.	-2.3132e-004
119	7.3636	5.4545	0.	-2.5045e-004
120	7.3636	5.2727	0.	-2.7621e-004
121	7.3636	5.0909	0.	-3.0821e-004
122	7.3636	4.9091	0.	-3.4606e-004
123	7.3636	4.7273	0.	-3.8922e-004
124	7.3636	4.5455	0.	-4.3649e-004
125	7.3636	4.3636	0.	-4.8555e-004
126	7.3636	4.1818	0.	-5.3249e-004
127	7.3636	4.	0.	-5.7499e-004
128	7.3636	3.8182	0.	-6.1136e-004
129	7.3636	3.6364	0.	-6.4015e-004
130	7.3636	3.4545	0.	-6.604e-004
131	7.3636	3.2727	0.	-6.7231e-004
132	7.3636	3.0909	0.	-6.7761e-004
133	7.3636	2.9091	0.	-6.7761e-004
134	7.3636	2.7273	0.	-6.7231e-004
135	7.3636	2.5455	0.	-6.604e-004
136	7.3636	2.3636	0.	-6.4015e-004
137	7.3636	2.1818	0.	-6.1136e-004
138	7.3636	2.	0.	-5.7499e-004
139	7.3636	1.8182	0.	-5.3249e-004
140	7.3636	1.6364	0.	-4.8555e-004
141	7.3636	1.4545	0.	-4.3649e-004
142	7.3636	1.2727	0.	-3.8922e-004
143	7.3636	1.0909	0.	-3.4606e-004
144	7.3636	0.90909	0.	-3.0821e-004
145	7.3636	0.72727	0.	-2.7621e-004
146	7.3636	0.54545	0.	-2.5045e-004
147	7.3636	0.36364	0.	-2.3132e-004
148	7.3636	0.18182	0.	-2.1951e-004
149	7.1795	5.8182	0.	-2.5934e-004
150	7.1795	5.6364	0.	-2.6997e-004
151	7.1795	5.4545	0.	-2.8599e-004
152	7.1795	5.2727	0.	-3.0717e-004
153	7.1795	5.0909	0.	-3.3326e-004
154	7.1795	4.9091	0.	-3.6373e-004
155	7.1795	4.7273	0.	-3.9768e-004
156	7.1795	4.5455	0.	-4.3375e-004
157	7.1795	4.3636	0.	-4.7e-004
158	7.1795	4.1818	0.	-5.0458e-004
159	7.1795	4.	0.	-5.3611e-004
160	7.1795	3.8182	0.	-5.6393e-004
161	7.1795	3.6364	0.	-5.8729e-004
162	7.1795	3.4545	0.	-6.0514e-004
163	7.1795	3.2727	0.	-6.1695e-004
164	7.1795	3.0909	0.	-6.2273e-004
165	7.1795	2.9091	0.	-6.2273e-004
166	7.1795	2.7273	0.	-6.1695e-004
167	7.1795	2.5455	0.	-6.0514e-004
168	7.1795	2.3636	0.	-5.8729e-004
169	7.1795	2.1818	0.	-5.6393e-004
170	7.1795	2.	0.	-5.3611e-004
171	7.1795	1.8182	0.	-5.0458e-004
172	7.1795	1.6364	0.	-4.7e-004
173	7.1795	1.4545	0.	-4.3375e-004
174	7.1795	1.2727	0.	-3.9768e-004
175	7.1795	1.0909	0.	-3.6373e-004
176	7.1795	0.90909	0.	-3.3326e-004
177	7.1795	0.72727	0.	-3.0717e-004
178	7.1795	0.54545	0.	-2.8599e-004
179	7.1795	0.36364	0.	-2.6997e-004
180	7.1795	0.18182	0.	-2.5934e-004
181	6.9955	5.8182	0.	-2.9456e-004
182	6.9955	5.6364	0.	-3.0412e-004
183	6.9955	5.4545	0.	-3.1763e-004
184	6.9955	5.2727	0.	-3.3498e-004
185	6.9955	5.0909	0.	-3.5596e-004
186	6.9955	4.9091	0.	-3.8005e-004
187	6.9955	4.7273	0.	-4.0641e-004
188	6.9955	4.5455	0.	-4.3387e-004
189	6.9955	4.3636	0.	-4.6114e-004
190	6.9955	4.1818	0.	-4.8706e-004
191	6.9955	4.	0.	-5.1089e-004
192	6.9955	3.8182	0.	-5.3215e-004
193	6.9955	3.6364	0.	-5.5031e-004
194	6.9955	3.4545	0.	-5.6469e-004
195	6.9955	3.2727	0.	-5.7461e-004
196	6.9955	3.0909	0.	-5.7964e-004
197	6.9955	2.9091	0.	-5.7964e-004
198	6.9955	2.7273	0.	-5.7461e-004
199	6.9955	2.5455	0.	-5.6469e-004
200	6.9955	2.3636	0.	-5.5031e-004
201	6.9955	2.1818	0.	-5.3215e-004
202	6.9955	2.	0.	-5.1089e-004
