Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
1,4.4674,2.3626,0,0.00016172,1616.1,6.8325e-05,190.62,4.4925e-05,14.794,-0.00015751,-1506.2,0.027412
2,6.0242,3.8082,0,0.00012268,1225.9,4.1498e-05,-87.13,3.0625e-05,-168.83,-0.00012683,-1351.9,0.051312
3,5.8958,1.2378,0,8.2062e-05,820.05,5.1315e-05,310.93,1.0752e-05,6.1568,-7.2301e-05,-617.87,0.048066
4,4.5376,4.4549,0,0.00012952,1294.3,7.0259e-05,309.91,2.1085e-05,-59.57,-0.00012124,-1128.9,0.027287
5,5.9069,4.8026,0,8.1403e-05,813.47,5.1732e-05,314.7,9.4218e-06,-3.2047,-7.13e-05,-609.72,0.048072
6,4.3828,1.6837,0,0.00012977,1296.8,5.7692e-05,184.64,3.379e-05,5.0506,-0.0001256,-1192.6,0.02574
7,6.7948,3.8505,0,0.00010477,1047,4.2498e-05,17.216,2.2024e-05,-136.62,-0.00010595,-1098.1,0.06624
8,3.7785,2.4461,0,0.00013924,1391.4,5.6076e-05,28.837,3.0625e-05,-162.39,-0.00014052,-1448.3,0.01973
9,7.5121,3.1636,0,8.1015e-05,809.59,3.0594e-05,-28.03,1.7248e-05,-128.31,-8.3207e-05,-883.08,0.08139
10,2.1406,3.5108,0,0.00012208,1219.9,5.3307e-05,-43.477,1.1638e-05,-356.56,-0.00012583,-1389.4,0.0065055
11,8.6104,2.042,0,6.788e-05,678.33,2.4431e-05,-1.2939,1.8768e-05,-43.84,-6.8548e-05,-699.9,0.1058
12,9.6802,2.0102,0,5.8919e-05,588.79,2.0598e-05,0.41743,1.7504e-05,-22.832,-5.9266e-05,-599.65,0.13126
13,10.768,1.9814,0,5.077e-05,507.35,1.7189e-05,-0.38486,1.598e-05,-9.4698,-5.0932e-05,-512.22,0.15855
14,11.875,1.9913,0,4.3076e-05,430.46,1.426e-05,-0.51373,1.4093e-05,-1.7641,-4.3115e-05,-431.6,0.18757
15,12.98,2.0242,0,3.5903e-05,358.78,1.2145e-05,3.1416,1.1633e-05,-0.70223,-3.586e-05,-357.54,0.21759
16,14.082,2.0242,0,2.9347e-05,293.26,1.0249e-05,6.2522,9.2985e-06,-0.88581,-2.9249e-05,-290.51,0.2484
