Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
1,2.1075,3.0261,0,0.00103,10293,0.0004766,1655,0.00025126,-38.115,-0.00099197,-9379.3,0.033357
2,2.9591,3.519,0,0.00077857,7780.4,0.00029134,259.27,0.00022139,-266.31,-0.00077736,-7770.6,0.070554
3,2.8946,2.1043,0,0.00074222,7417,0.00029491,134.14,0.00016885,-812.98,-0.00074921,-7711,0.066517
4,1.7134,2.2314,0,0.0012037,12029,0.00039235,-344.53,0.0003739,-483.16,-0.0012177,-12442,0.019309
5,1.5823,5.3254,0,0.00039487,3945.9,0.00016919,446.28,0.00010344,-47.711,-0.00038576,-3723.4,0.0088125
6,0.89085,4.55,0,0.00052882,5284.5,0.00029762,1176.4,5.2527e-05,-665.08,-0.00049546,-4782.5,0.0038553
7,1.5621,1.8933,0,0.00088089,8802.8,0.0003441,538.13,0.00024781,-185.35,-0.00087266,-8604.1,0.014499
8,6.249,2.5218,0,0.00044422,4439.1,0.00015726,68.234,0.00013462,-101.9,-0.00044454,-4453.5,0.30713
9,2.3124,2.9271,0,0.001038,10372,0.00038396,694.93,0.00033575,332.74,-0.00102,-9853.9,0.041198
10,1.637,2.903,0,0.0010716,10709,0.00040521,541.48,0.00031468,-138.78,-0.0010631,-10491,0.018991
11,22.336,4.5636,0,3.9876e-05,398.49,1.932e-05,64.725,8.0835e-06,-19.703,-3.8434e-05,-369.21,2.4734
12,20.693,4.5639,0,7.3162e-05,731.12,2.7335e-05,40.066,2.2359e-05,2.6812,-7.2363e-05,-709.03,2.2108
13,18.982,4.5803,0,0.00011014,1100.6,3.8275e-05,20.899,3.4982e-05,-3.8418,-0.00010983,-1091.9,1.9413
14,17.298,4.5835,0,0.00014909,1489.9,5.03e-05,11.62,4.8404e-05,-2.6326,-0.00014894,-1485.4,1.6824
15,15.62,4.5841,0,0.00018973,1896,6.317e-05,4.9075,6.2119e-05,-2.9845,-0.0001897,-1895.1,1.4328
16,13.943,4.584,0,0.00023188,2317.2,7.6635e-05,-1.3329,7.6206e-05,-4.5595,-0.00023198,-2320.2,1.194
17,12.304,4.5712,0,0.00027515,2749.6,9.146e-05,1.2234,8.9795e-05,-11.283,-0.00027532,-2754.6,0.97319
18,10.686,4.6062,0,0.00031766,3174.4,0.00010586,-7.9281,0.00010236,-34.209,-0.00031837,-3195.4,0.76954
19,9.0095,4.6898,0,0.00036655,3662.9,0.00012667,23.707,0.00011341,-75.957,-0.00036733,-3688,0.5759
20,7.3278,4.8067,0,0.00040479,4045.1,0.0001375,3.9596,0.00012728,-72.81,-0.0004059,-4079,0.40213
21,5.5948,4.9789,0,0.00043598,4356.8,0.00015633,125.77,0.00013415,-40.895,-0.00043429,-4311.9,0.24685
22,3.8928,5.3665,0,0.00042202,4217.3,0.0001796,492.2,0.00011433,1.7952,-0.00041147,-3948.9,0.11801
23,3.6154,4.7086,0,0.00048622,4858.9,0.00022172,838.17,0.0001305,152.78,-0.00046572,-4327,0.10417
24,3.4058,4.1164,0,0.00052801,5276.5,0.00019963,81.853,0.00013753,-384.75,-0.00053162,-5412.4,0.093965
25,22.399,1.5245,0,3.9057e-05,390.31,1.9184e-05,67.621,7.8253e-06,-17.723,-3.7502e-05,-358.29,2.4846
26,22.374,3.0495,0,4.1075e-05,410.47,2.1597e-05,85.47,6.7831e-06,-25.837,-3.8912e-05,-369.17,2.4806
27,3.5914,0.64112,0,0.00042114,4208.5,0.00017274,436.66,0.00012073,45.876,-0.00041157,-3953.6,0.099868
28,4.994,1.2788,0,0.00044946,4491.5,0.00016605,101.89,0.00012709,-190.88,-0.00045026,-4528.8,0.20138
29,6.5567,1.2195,0,0.00042865,4283.6,0.00015341,61.969,0.00012663,-139.23,-0.00042961,-4318.6,0.33114
30,8.0193,1.203,0,0.00038846,3881.9,0.00013071,-38.788,0.00012035,-116.57,-0.00039105,-3959,0.47184
31,11.088,1.6345,0,0.00030881,3086,0.00010437,14.789,9.9087e-05,-24.918,-0.00030896,-3090.8,0.82048
32,12.747,1.5732,0,0.00026301,2628.3,8.762e-05,4.0336,8.5765e-05,-9.908,-0.00026311,-2631.2,1.033
33,14.363,1.5943,0,0.00022141,2212.6,7.3939e-05,11.369,7.2628e-05,1.5214,-0.00022119,-2206.1,1.2542
34,15.974,1.6171,0,0.00018104,1809.2,6.0733e-05,12.224,5.9191e-05,0.63786,-0.00018082,-1802.7,1.4861
35,17.577,1.6177,0,0.00014252,1424.2,4.8399e-05,16.72,4.6243e-05,0.51713,-0.00014222,-1415.5,1.7262
36,19.18,1.6184,0,0.00010573,1056.6,3.6998e-05,24.383,3.3545e-05,-1.5608,-0.00010532,-1044.9,1.9735
37,20.806,1.6036,0,7.0845e-05,707.96,2.6945e-05,44.955,2.139e-05,3.2174,-6.9933e-05,-682.95,2.2299
38,0.97005,0.87993,0,0.00053521,5348.4,0.00030008,1317.7,6.9805e-05,-412.53,-0.00049838,-4681.6,0.0038141
39,1.3439,1.3078,0,0.00051351,5131.5,0.00018403,204.33,0.0001634,49.384,-0.00050902,-5002.9,0.0088042
