Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
765	23.422	1.1981	0.1	2.1922e-005
766	22.845	0.59806	0.1	2.6231e-005
767	21.102	1.1918	0.1	6.3892e-005
768	21.685	0.59594	0.1	5.0108e-005
769	19.947	1.1904	0.1	8.8669e-005
770	20.532	0.59588	0.1	7.4921e-005
771	18.794	1.1867	0.1	1.1443e-004
772	19.377	0.59454	0.1	1.0059e-004
773	17.64	1.1828	0.1	1.4108e-004
774	18.224	0.59212	0.1	1.27e-004
775	16.487	1.1802	0.1	1.6857e-004
776	17.069	0.59068	0.1	1.5426e-004
777	15.333	1.1789	0.1	1.9689e-004
778	15.917	0.5895	0.1	1.8225e-004
779	14.179	1.179	0.1	2.2601e-004
780	14.761	0.58942	0.1	2.1111e-004
781	13.022	1.1807	0.1	2.5594e-004
782	13.608	0.58963	0.1	2.4072e-004
783	11.855	1.1861	0.1	2.8683e-004
784	12.45	0.59103	0.1	2.7118e-004
785	10.675	1.1954	0.1	3.1841e-004
786	11.287	0.59507	0.1	3.0275e-004
787	9.4751	1.2048	0.1	3.5113e-004
788	10.117	0.6003	0.1	3.3433e-004
789	8.2491	1.2117	0.1	3.8508e-004
790	8.9326	0.60453	0.1	3.6904e-004
791	7.0584	1.1622	0.1	4.236e-004
792	7.7365	0.60717	0.1	4.03e-004
793	5.9098	1.0136	0.1	4.425e-004
794	6.5878	0.55505	0.1	4.3686e-004
795	1.2242	3.3017	0.1	7.0019e-004
796	1.3212	2.3167	0.1	7.0815e-004
797	1.7916	2.7718	0.1	8.1511e-004
798	0.59631	2.55	0.1	5.6164e-004
799	1.1029	4.4309	0.1	6.1917e-004
800	1.6685	4.2686	0.1	6.3544e-004
801	0.62785	3.7517	0.1	5.1336e-004
802	4.8131	0.76322	0.1	4.0424e-004
803	5.4339	0.45851	0.1	4.2797e-004
804	4.0369	5.2593	0.1	4.3698e-004
805	3.6794	5.4796	0.1	2.7202e-004
806	4.2564	5.7296	0.1	3.6031e-004
807	1.4501	5.0983	0.1	5.2394e-004
808	0.47508	4.8792	0.1	4.8425e-004
809	0.98508	5.4792	0.1	6.0351e-004
810	2.0157	4.936	0.1	5.4021e-004
811	2.2306	4.4393	0.1	7.5662e-004
812	2.5707	4.8169	0.1	5.2451e-004
813	3.76	0.55471	0.1	2.8831e-004
814	4.337	0.30471	0.1	3.5366e-004
815	4.825	3.0817	0.1	6.5118e-004
816	4.184	4.8787	0.1	5.5565e-004
817	3.8265	4.599	0.1	6.2483e-004
818	3.5842	5.0297	0.1	5.2637e-004
819	2.5051	5.3691	0.1	3.6721e-004
820	1.9951	5.6191	0.1	4.3123e-004
821	2.72	4.3724	0.1	1.013e-003
822	1.6176	0.65362	0.1	5.3897e-004
823	2.5839	0.5139	0.1	3.2801e-004
824	2.0739	0.2639	0.1	4.2373e-004
825	0.56377	0.98972	0.1	4.9721e-004
826	1.0738	0.38972	0.1	6.2861e-004
827	2.2549	1.9668	0.1	1.0538e-003
828	0.72488	1.5668	0.1	5.2302e-004
829	2.7253	2.4218	0.1	1.1608e-003
830	3.2267	4.25	0.1	1.1114e-003
831	3.1433	4.	0.1	1.6993e-003
832	3.2267	4.	5.e-002	1.5872e-003
833	3.2267	4.75	0.1	5.9555e-004
834	3.2267	4.5	5.e-002	6.3569e-004
835	3.2267	5.25	0.1	3.6141e-004
836	3.2267	5.	5.e-002	5.5541e-004
837	3.2267	5.75	0.1	1.2662e-004
838	3.2267	5.5	5.e-002	1.6741e-004
839	3.06	5.25	0.1	3.515e-004
840	3.06	5.75	0.1	1.4882e-004
841	3.06	5.5	5.e-002	2.6889e-004
842	3.06	4.75	0.1	7.8093e-004
843	3.06	5.	5.e-002	4.3411e-004
844	3.06	4.25	0.1	1.4696e-003
845	3.06	4.5	5.e-002	1.1277e-003
846	3.06	4.	5.e-002	1.8114e-003
847	3.2267	1.75	0.1	1.4082e-003
848	3.1433	2.	0.1	1.5891e-003
849	3.2267	2.	5.e-002	1.7424e-003
850	3.2267	1.25	0.1	6.9606e-004
851	3.2267	1.5	5.e-002	1.0741e-003
852	3.2267	0.75	0.1	2.6311e-004
853	3.2267	1.	5.e-002	3.1806e-004
854	3.2267	0.25	0.1	1.2981e-004
855	3.2267	0.5	5.e-002	2.0817e-004
856	3.06	0.75	0.1	3.8067e-004
857	3.06	0.25	0.1	1.4079e-004
858	3.06	0.5	5.e-002	1.9837e-004
859	3.06	1.25	0.1	6.1636e-004
860	3.06	1.	5.e-002	5.6298e-004
861	3.06	1.75	0.1	1.0528e-003
862	3.06	1.5	5.e-002	6.6974e-004
863	3.06	2.	5.e-002	1.4358e-003
864	3.8037	6.	0.1	2.1492e-004
865	3.2267	6.	5.e-002	8.5841e-005
866	4.9578	6.	0.1	4.0339e-004
867	4.3807	6.	5.e-002	3.44e-004
868	6.1119	6.	0.1	4.2938e-004
869	5.5348	6.	5.e-002	4.6278e-004
870	7.2659	6.	0.1	4.0175e-004
871	6.6889	6.	5.e-002	3.9599e-004
872	8.42	6.	0.1	3.8705e-004
873	7.843	6.	5.e-002	4.0752e-004
874	9.5741	6.	0.1	3.5108e-004
875	8.997	6.	5.e-002	3.6658e-004
876	10.728	6.	0.1	3.1923e-004
877	10.151	6.	5.e-002	3.3557e-004
878	11.882	6.	0.1	2.8713e-004
879	11.305	6.	5.e-002	3.0289e-004
880	13.036	6.	0.1	2.561e-004
881	12.459	6.	5.e-002	2.7138e-004
882	14.19	6.	0.1	2.2594e-004
883	13.613	6.	5.e-002	2.4082e-004
884	15.344	6.	0.1	1.966e-004
885	14.767	6.	5.e-002	2.1106e-004
886	16.499	6.	0.1	1.6807e-004
887	15.921	6.	5.e-002	1.8214e-004
888	17.653	6.	0.1	1.4032e-004
889	17.076	6.	5.e-002	1.54e-004
890	18.807	6.	0.1	1.1329e-004
891	18.23	6.	5.e-002	1.2663e-004
892	19.961	6.	0.1	8.6957e-005
893	19.384	6.	5.e-002	9.9956e-005
894	21.115	6.	0.1	6.1189e-005
895	20.538	6.	5.e-002	7.3957e-005
896	22.269	6.	0.1	3.5794e-005
897	21.692	6.	5.e-002	4.8421e-005
898	23.423	6.	0.1	1.319e-005
899	22.846	6.	5.e-002	2.3167e-005
900	24.	5.4	0.1	8.8459e-006
901	24.	6.	5.e-002	3.2125e-006
902	24.	4.2	0.1	1.6434e-005
903	24.	4.8	5.e-002	1.4479e-005
904	24.	3.	0.1	1.8458e-005
905	24.	3.6	5.e-002	1.8389e-005
906	24.	1.8	0.1	1.6531e-005
907	24.	2.4	5.e-002	1.8528e-005
908	24.	0.6	0.1	8.6682e-006
909	24.	1.2	5.e-002	1.4535e-005
910	0.	1.8	0.1	3.7651e-004
911	0.	0.6	0.1	2.5222e-004
912	0.	1.2	5.e-002	3.7414e-004
913	0.	3.	0.1	3.7481e-004
914	0.	2.4	5.e-002	3.7887e-004
915	0.	4.2	0.1	3.7845e-004
916	0.	3.6	5.e-002	3.7075e-004
917	0.	5.4	0.1	2.7466e-004
918	0.	4.8	5.e-002	3.8615e-004
919	23.423	0.	0.1	1.2977e-005
920	24.	0.	5.e-002	2.8013e-006
921	22.269	0.	0.1	3.5787e-005
922	22.846	0.	5.e-002	2.3153e-005
923	21.115	0.	0.1	6.1137e-005
924	21.692	0.	5.e-002	4.8421e-005
925	19.961	0.	0.1	8.6843e-005
926	20.538	0.	5.e-002	7.3853e-005
927	18.807	0.	0.1	1.1317e-004
928	19.384	0.	5.e-002	9.9834e-005
929	17.653	0.	0.1	1.4018e-004
930	18.23	0.	5.e-002	1.265e-004
931	16.499	0.	0.1	1.6794e-004
932	17.076	0.	5.e-002	1.5386e-004
933	15.344	0.	0.1	1.9647e-004
934	15.921	0.	5.e-002	1.8202e-004
935	14.19	0.	0.1	2.2582e-004
936	14.767	0.	5.e-002	2.1092e-004
937	13.036	0.	0.1	2.5595e-004
938	13.613	0.	5.e-002	2.4072e-004
939	11.882	0.	0.1	2.871e-004
940	12.459	0.	5.e-002	2.7118e-004
941	10.728	0.	0.1	3.1867e-004
942	11.305	0.	5.e-002	3.0302e-004
943	9.5741	0.	0.1	3.5224e-004
944	10.151	0.	5.e-002	3.3433e-004
945	8.42	0.	0.1	3.8695e-004
946	8.997	0.	5.e-002	3.7015e-004
947	7.2659	0.	0.1	4.1626e-004
948	7.843	0.	5.e-002	4.0376e-004
949	6.1119	0.	0.1	4.2234e-004
950	6.6889	0.	5.e-002	4.2876e-004
951	4.9578	0.	0.1	3.774e-004
952	5.5348	0.	5.e-002	4.1592e-004
953	3.8037	0.	0.1	1.9516e-004
954	4.3807	0.	5.e-002	3.3888e-004
955	3.2267	0.	5.e-002	5.1446e-005
956	2.55	0.	0.1	2.3651e-004
957	3.06	0.	5.e-002	8.3199e-005
958	1.53	0.	0.1	5.1337e-004
959	2.04	0.	5.e-002	3.8982e-004
960	0.51	0.	0.1	3.8362e-004
961	1.02	0.	5.e-002	6.3693e-004
962	0.	0.	5.e-002	1.3031e-004
963	0.51	6.	0.1	3.9392e-004
964	0.	6.	5.e-002	1.6318e-004
965	1.53	6.	0.1	5.108e-004
966	1.02	6.	5.e-002	6.2466e-004
967	2.55	6.	0.1	2.1285e-004
968	2.04	6.	5.e-002	3.9695e-004
969	3.06	6.	5.e-002	2.8753e-005
970	1.53	6.	0.	5.108e-004
971	2.55	6.	0.	2.1285e-004
972	0.51	6.	0.	3.9392e-004
973	3.06	5.75	0.	1.4882e-004
974	0.	5.4	0.	2.7466e-004
975	1.53	0.	0.	5.1337e-004
