Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
1	6.	6.	0.1	-996.76
2	12.	6.	0.1	214.42
3	18.	6.	0.1	-86.384
4	24.	6.	0.1	-198.04
5	24.	0.	0.1	-198.04
6	18.	0.	0.1	-86.384
7	12.	0.	0.1	214.42
8	6.	0.	0.1	-996.76
9	0.	0.	0.1	3156.8
10	3.937e-014	6.	0.1	3156.8
11	3.937e-014	6.	0.	-6508.6
12	0.	0.	0.	-6508.6
13	6.	0.	0.	-3859.3
14	12.	0.	0.	-3003.4
15	18.	0.	0.	-1363.8
16	24.	0.	0.	-783.64
17	24.	6.	0.	-783.64
18	18.	6.	0.	-1363.8
19	12.	6.	0.	-3003.4
20	6.	6.	0.	-3859.3
21	9.	6.	0.1	-390.72
22	6.	3.	0.1	-996.63
23	3.	6.	0.1	1096.9
24	6.	6.	5.e-002	-127.87
25	15.	6.	0.1	127.24
26	12.	3.	0.1	214.68
27	12.	6.	5.e-002	-16.78
28	21.	6.	0.1	-142.14
29	18.	3.	0.1	-86.354
30	18.	6.	5.e-002	-15.369
31	24.	3.	0.1	-197.84
32	24.	6.	5.e-002	-9.8393
33	21.	0.	0.1	-142.14
34	24.	0.	5.e-002	-9.8393
35	15.	0.	0.1	127.24
36	18.	0.	5.e-002	-15.369
37	9.	0.	0.1	-390.72
38	12.	0.	5.e-002	-16.78
39	3.	0.	0.1	1096.9
40	6.	0.	5.e-002	-127.87
41	2.6226e-014	3.	0.1	3163.6
42	0.	0.	5.e-002	-304.33
43	5.2451e-014	6.	5.e-002	-304.33
44	2.6226e-014	3.	0.	-6508.
45	3.	6.	0.	-5170.
46	3.	0.	0.	-5170.
47	9.	0.	0.	-3430.9
48	6.	3.	0.	-3855.8
49	15.	0.	0.	-2183.3
50	12.	3.	0.	-3002.
51	21.	0.	0.	-1073.6
52	18.	3.	0.	-1363.8
53	24.	3.	0.	-783.46
54	21.	6.	0.	-1073.6
55	15.	6.	0.	-2183.3
56	9.	6.	0.	-3430.9
