Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
137	2.3302	3.121	0.	-1.1575e-003
138	2.4881	2.843	0.	-9.3411e-004
139	2.2374	2.9794	5.e-002	-4.9994e-005
140	2.2021	2.4897	0.	-1.5211e-003
141	2.5809	2.9845	0.	-1.0477e-003
142	2.4229	3.2625	5.e-002	-2.0633e-005
143	2.2115	3.6313	0.	-1.5275e-003
144	16.71	3.0231	0.	-1.6139e-004
145	19.117	2.9826	5.e-002	-1.9543e-006
146	19.375	1.4913	0.	-1.074e-004
147	21.559	2.9913	0.	-8.8283e-005
148	18.939	4.4913	0.	-1.2162e-004
149	11.242	3.18	0.	-2.4402e-004
150	14.303	3.0637	5.e-002	-2.8202e-006
151	14.785	1.5319	0.	-2.0105e-004
152	13.912	4.5319	0.	-2.1473e-004
153	6.7628	2.6333	0.	-3.3757e-004
154	8.1806	3.2963	5.e-002	-1.2427e-005
155	9.5403	1.6482	0.	-2.6826e-004
156	8.2303	4.6482	0.	-2.735e-004
157	2.7388	2.7066	5.e-002	-7.2311e-005
158	1.8336	2.9015	0.	-1.0416e-003
159	1.8108	2.9017	5.e-002	-1.172e-004
160	1.9054	2.4509	0.	-1.3953e-003
161	2.5695	1.6826	5.e-002	-7.5821e-005
162	2.3681	1.5913	0.	-5.0551e-004
163	1.8564	2.9012	5.e-002	-1.9943e-004
164	1.9282	2.4506	0.	-1.4312e-003
165	5.345	1.9702	5.e-002	-2.5211e-005
166	5.9392	0.98509	0.	-3.7311e-004
167	6.7628	2.6333	0.1	-1.3096e-004
168	4.2973	1.7038	0.1	-1.8677e-004
169	4.3801	2.7974	0.1	-1.6941e-004
170	5.9392	0.98509	0.1	-1.7648e-004
171	1.8336	2.9015	0.1	-4.3407e-004
172	1.5121	3.1675	0.1	-3.2924e-004
173	1.8791	2.901	0.1	-4.5103e-004
174	1.9282	2.4506	0.1	-6.7433e-004
175	2.9096	1.56	0.1	-4.3154e-004
176	2.5071	1.8699	0.1	-5.1899e-004
177	2.3681	1.5913	0.1	-4.4851e-004
178	1.4893	3.1677	0.1	-3.6217e-004
179	1.9054	2.4509	0.1	-6.7487e-004
180	2.5809	2.9845	0.1	-3.4386e-004
181	2.4881	2.843	0.1	-3.2723e-004
182	2.9942	2.072	0.1	-2.2383e-004
183	2.5917	2.3819	0.1	-3.2015e-004
184	3.077	3.1656	0.1	-2.4327e-004
185	11.242	3.18	0.1	-9.4585e-005
186	6.2401	3.9855	0.1	-1.4386e-004
187	8.2303	4.6482	0.1	-1.0507e-004
188	9.5403	1.6482	0.1	-1.0347e-004
189	16.71	3.0231	0.1	-6.085e-005
190	13.912	4.5319	0.1	-8.2211e-005
191	14.785	1.5319	0.1	-7.3894e-005
192	18.939	4.4913	0.1	-4.6928e-005
193	21.559	2.9913	0.1	-4.0524e-005
194	19.375	1.4913	0.1	-5.5692e-005
195	2.3302	3.121	0.1	-4.4502e-004
196	2.5345	3.3943	0.1	-3.9381e-004
197	2.2115	3.6313	0.1	-5.5313e-004
198	1.7026	3.2066	0.1	-4.6945e-004
199	2.0697	2.9401	0.1	-4.4364e-004
200	2.2021	2.4897	0.1	-5.9038e-004
201	3.8573	4.1496	0.1	-2.0853e-004
202	3.2331	4.8373	0.1	-1.9092e-004
203	4.5431	5.3373	0.1	-1.9675e-004
204	2.7082	1.2187	0.1	-2.0452e-004
205	3.7998	0.71873	0.1	-1.542e-004
206	2.3057	2.0286	0.1	-5.4514e-004
207	3.0306	3.5753	0.1	-2.7502e-004
208	2.7909	4.0623	0.1	-2.515e-004
209	1.5349	3.1672	0.1	-3.7928e-004
210	1.5839	2.4669	0.1	-4.3674e-004
211	1.5839	3.7169	0.1	-6.399e-004
212	1.5839	3.9669	0.1	-5.3414e-004
213	1.5839	4.2169	0.1	-3.1879e-004
214	0.58392	3.5919	0.1	-2.6917e-004
215	1.0839	4.7169	0.1	-3.3211e-004
216	1.951	2.4503	0.1	-6.4772e-004
217	2.4064	3.763	0.1	-5.4762e-004
218	2.1667	1.25	0.1	-2.6885e-004
219	2.1667	0.5	0.1	-1.5444e-004
220	2.1667	1.	5.e-002	-6.2146e-005
221	2.1667	1.75	0.1	-4.8792e-004
222	2.1667	1.5	5.e-002	-1.0877e-004
223	2.0833	2.	0.1	-8.5042e-004
224	2.1667	2.	5.e-002	-1.3943e-004
225	2.	1.75	0.1	-7.887e-004
226	2.	2.	5.e-002	-1.6894e-004
227	2.	1.25	0.1	-5.6526e-004
228	2.	1.5	5.e-002	-1.4437e-004
229	1.	2.375	0.1	-2.7862e-004
