Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
1	8.2221	3.7891	0.	5.4663e-004
2	8.5358	2.371	0.	2.9162e-004
3	7.6915	2.3518	0.	3.6645e-004
4	8.0023	3.606	0.	4.7824e-004
5	8.2639	3.5789	0.	4.2509e-004
6	7.6591	3.9602	0.	3.5718e-004
7	7.6216	3.6656	0.	3.1181e-004
8	8.5227	3.5473	0.	3.1044e-004
9	9.0724	1.2892	0.	1.3323e-004
10	7.2123	5.1229	0.	1.4017e-004
11	8.9778	4.1925	0.	1.6283e-004
12	7.8318	3.1577	0.	3.6936e-004
13	8.1976	3.0404	0.	3.7177e-004
14	8.5083	3.2923	0.	3.0909e-004
15	8.6613	0.28137	0.	5.8689e-005
16	8.9423	4.4434	0.	1.5495e-004
17	7.4349	3.212	0.	2.7633e-004
18	8.8041	3.4931	0.	2.1685e-004
19	8.8302	3.22	0.	2.2517e-004
20	9.4075	4.4092	0.	1.2831e-004
21	7.3832	1.5012	0.	2.4882e-004
22	7.3564	2.0665	0.	2.455e-004
23	8.8715	4.9841	0.	1.2078e-004
24	8.8704	2.502	0.	2.0778e-004
25	7.526	2.7556	0.	2.9728e-004
26	9.1855	4.6954	0.	1.2188e-004
27	6.6853	3.8756	0.	1.6766e-004
28	9.1547	3.2497	0.	1.8957e-004
29	5.9986	5.0955	0.	1.4728e-004
30	5.4901	5.0871	0.	1.5301e-004
31	4.9931	5.0766	0.	1.6331e-004
32	4.5	5.0726	0.	1.7177e-004
33	4.	5.0726	0.	1.7993e-004
34	3.5053	5.0779	0.	1.8785e-004
35	3.001	5.0848	0.	1.9777e-004
36	2.4797	5.06	0.	2.0487e-004
37	1.9696	5.0246	0.	2.1291e-004
38	1.4585	5.0205	0.	2.3014e-004
39	0.97928	0.96975	0.	2.2227e-004
40	1.4787	0.94579	0.	2.2853e-004
41	1.9842	0.95635	0.	2.1425e-004
42	2.4859	0.94511	0.	2.0591e-004
43	2.9903	0.93606	0.	1.9684e-004
44	3.494	0.93012	0.	1.8839e-004
45	4.	0.92741	0.	1.8029e-004
46	4.5	0.92741	0.	1.7208e-004
47	5.	0.92741	0.	1.6376e-004
48	5.5136	0.93167	0.	1.5325e-004
49	6.0378	0.94071	0.	1.4899e-004
50	6.5908	0.88503	0.	1.4357e-004
51	6.9631	1.0263	0.	1.8005e-004
52	10.062	0.92017	0.	1.0483e-004
53	10.558	0.9272	0.	1.0258e-004
54	11.045	0.92741	0.	1.0104e-004
55	11.525	0.92741	0.	9.7861e-005
56	12.005	0.92741	0.	9.411e-005
57	12.485	0.92741	0.	8.9992e-005
58	12.965	0.92741	0.	8.5724e-005
59	13.444	0.92741	0.	8.1409e-005
60	13.924	0.92741	0.	7.7112e-005
61	14.404	0.92741	0.	7.2858e-005
62	14.884	0.92741	0.	6.8662e-005
63	15.364	0.92741	0.	6.4533e-005
64	15.843	0.92741	0.	6.0836e-005
65	16.323	0.92741	0.	5.7287e-005
66	16.803	0.92741	0.	5.3755e-005
67	17.283	0.92741	0.	5.0247e-005
68	17.763	0.92741	0.	4.6773e-005
69	18.242	0.92741	0.	4.3341e-005
70	18.722	0.92741	0.	3.9962e-005
71	19.202	0.92741	0.	3.6643e-005
72	19.682	0.92741	0.	3.3395e-005
73	20.162	0.92741	0.	3.0225e-005
74	20.641	0.92741	0.	2.7156e-005
75	21.121	0.92741	0.	2.4201e-005
76	21.611	0.93733	0.	2.1331e-005
77	22.101	0.9648	0.	1.8718e-005
78	22.581	0.97811	0.	1.6401e-005
79	0.94886	4.511	0.	2.4374e-004
80	0.9347	4.0074	0.	2.5753e-004
81	0.92741	3.5	0.	2.6542e-004
82	0.92985	2.9941	0.	2.6762e-004
83	0.9404	2.4842	0.	2.6496e-004
84	0.95457	1.9751	0.	2.5712e-004
85	0.97158	1.4677	0.	2.4246e-004
86	23.068	1.4945	0.	1.7091e-005
87	23.073	2.	0.	1.8863e-005
88	23.073	2.5	0.	1.9885e-005
89	23.067	2.9953	0.	2.0271e-005
90	23.067	3.5062	0.	1.9908e-005
91	23.06	4.0173	0.	1.8853e-005
92	23.049	4.5284	0.	1.7047e-005
93	22.568	5.0412	0.	1.6362e-005
94	22.087	5.0496	0.	1.8737e-005
95	21.607	5.0532	0.	2.1369e-005
96	21.128	5.0601	0.	2.417e-005
97	20.647	5.0691	0.	2.712e-005
98	20.162	5.0726	0.	3.023e-005
99	19.682	5.0726	0.	3.3394e-005
100	19.202	5.0726	0.	3.6643e-005
101	18.722	5.0726	0.	3.9962e-005
102	18.242	5.0726	0.	4.3342e-005
103	17.763	5.0726	0.	4.6774e-005
104	17.283	5.0726	0.	5.0249e-005
105	16.803	5.0726	0.	5.3758e-005
106	16.323	5.0726	0.	5.7292e-005
107	15.843	5.0726	0.	6.0842e-005
108	15.364	5.0726	0.	6.4524e-005
109	14.884	5.0726	0.	6.8648e-005
110	14.404	5.0726	0.	7.2838e-005
111	13.924	5.0726	0.	7.7083e-005
112	13.444	5.0726	0.	8.1368e-005
113	12.965	5.0726	0.	8.5664e-005
114	12.485	5.0726	0.	8.9914e-005
115	12.005	5.0726	0.	9.4005e-005
116	11.525	5.0726	0.	9.7733e-005
117	11.045	5.0726	0.	1.0043e-004
118	10.573	5.0886	0.	1.0311e-004
119	10.122	5.1258	0.	1.0509e-004
120	9.6715	5.1915	0.	1.0548e-004
121	9.1812	2.1899	0.	1.589e-004
122	9.6571	4.7841	0.	1.1032e-004
123	7.1055	2.9186	0.	2.1511e-004
124	6.7051	3.5246	0.	1.7841e-004
125	9.703	3.5521	0.	1.4743e-004
126	6.9707	1.2668	0.	1.8135e-004
127	7.3168	2.8245	0.	2.4987e-004
128	9.2123	2.579	0.	1.7705e-004
129	6.815	3.1427	0.	1.9042e-004
130	6.7021	2.7409	0.	1.8546e-004
131	10.03	3.7983	0.	1.2975e-004
132	10.025	2.6902	0.	1.3891e-004
133	6.3857	3.0829	0.	1.8022e-004
134	10.309	3.2496	0.	1.285e-004
135	5.9461	3.4035	0.	1.7193e-004
136	6.4675	1.9265	0.	1.5768e-004
137	5.9542	2.6733	0.	1.7178e-004
138	10.457	2.752	0.	1.2597e-004
139	5.9743	2.3195	0.	1.6764e-004
140	5.5119	2.9814	0.	1.7346e-004
141	10.526	2.2913	0.	1.2101e-004
142	10.743	3.255	0.	1.1985e-004
143	10.913	2.7844	0.	1.1559e-004
144	4.588	3.0032	0.	1.8136e-004
145	3.1113	2.9858	0.	2.0892e-004
146	7.9699	3.7843	0.	6.0336e-004
147	7.9372	2.3074	0.	5.1337e-004
148	8.1971	2.2506	0.	5.585e-004
149	8.6442	5.76	0.	5.8001e-005
150	8.5925	5.5604	0.	6.4399e-005
151	8.5164	5.2557	0.	1.0509e-004
152	8.5247	4.9941	0.	1.5149e-004
153	8.5338	4.7328	0.	2.0866e-004
154	8.5479	4.4802	0.	2.702e-004
155	8.5222	4.2443	0.	3.1313e-004
156	8.5371	4.0133	0.	2.6753e-004
157	23.525	5.5092	0.	9.2057e-006
158	23.048	5.5252	0.	1.1362e-005
159	22.563	5.5286	0.	1.4215e-005
160	22.082	5.5302	0.	1.7191e-005
161	21.604	5.527	0.	2.0266e-005
162	21.124	5.5303	0.	2.3396e-005
163	20.641	5.5363	0.	2.6638e-005
164	20.162	5.5363	0.	2.9915e-005
165	19.682	5.5363	0.	3.3248e-005
166	19.202	5.5363	0.	3.6632e-005
167	18.722	5.5363	0.	4.0068e-005
168	18.242	5.5363	0.	4.3552e-005
169	17.763	5.5363	0.	4.7082e-005
170	17.283	5.5363	0.	5.0654e-005
171	16.803	5.5363	0.	5.4265e-005
172	16.323	5.5363	0.	5.7911e-005
173	15.843	5.5363	0.	6.1587e-005
174	15.364	5.5363	0.	6.529e-005
175	14.884	5.5363	0.	6.9017e-005
176	14.404	5.5363	0.	7.2766e-005
177	13.924	5.5363	0.	7.6814e-005
178	13.444	5.5363	0.	8.1001e-005
179	12.965	5.5363	0.	8.5164e-005
180	12.485	5.5363	0.	8.922e-005
181	12.005	5.5363	0.	9.3006e-005
182	11.525	5.5363	0.	9.6316e-005
183	11.045	5.5363	0.	9.9225e-005
184	10.575	5.549	0.	1.0194e-004
185	10.114	5.5696	0.	1.0204e-004
186	9.6425	5.5976	0.	9.6842e-005
187	9.1631	5.6297	0.	8.4249e-005
188	23.526	0.49615	0.	9.2353e-006
189	23.53	0.99291	0.	1.3273e-005
190	23.536	1.5	0.	1.6126e-005
191	23.536	2.	0.	1.8007e-005
192	23.536	2.5	0.	1.9088e-005
193	23.536	3.	0.	1.9426e-005
194	23.531	3.5035	0.	1.9099e-005
195	23.528	4.0059	0.	1.8007e-005
196	23.522	4.5144	0.	1.6103e-005
197	23.523	5.0136	0.	1.3229e-005
198	9.1469	0.35112	0.	8.3176e-005
199	9.6196	0.42942	0.	1.0189e-004
200	10.082	0.46083	0.	1.0267e-004
201	10.566	0.46371	0.	1.0174e-004
202	11.045	0.46371	0.	9.9107e-005
203	11.525	0.46371	0.	9.6414e-005
204	12.005	0.46371	0.	9.3121e-005
205	12.485	0.46371	0.	8.9292e-005
206	12.965	0.46371	0.	8.5216e-005
207	13.444	0.46371	0.	8.1038e-005
208	13.924	0.46371	0.	7.6841e-005
209	14.404	0.46371	0.	7.276e-005
210	14.884	0.46371	0.	6.9012e-005
211	15.364	0.46371	0.	6.5286e-005
212	15.843	0.46371	0.	6.1584e-005
213	16.323	0.46371	0.	5.7909e-005
214	16.803	0.46371	0.	5.4264e-005
215	17.283	0.46371	0.	5.0654e-005
216	17.763	0.46371	0.	4.7082e-005
217	18.242	0.46371	0.	4.3552e-005
218	18.722	0.46371	0.	4.0069e-005
219	19.202	0.46371	0.	3.6633e-005
220	19.682	0.46371	0.	3.3248e-005
221	20.162	0.46371	0.	2.9916e-005
222	20.641	0.46371	0.	2.6643e-005
223	21.121	0.46371	0.	2.3416e-005
224	21.607	0.47209	0.	2.0226e-005
225	22.091	0.48128	0.	1.7142e-005
226	22.571	0.48681	0.	1.42e-005
227	23.052	0.49457	0.	1.1432e-005
228	7.5121	0.24517	0.	6.7987e-005
229	7.5604	0.50572	0.	8.3634e-005
230	7.6223	0.74788	0.	1.333e-004
231	7.6704	0.99628	0.	1.8964e-004
232	7.6813	1.25	0.	2.6218e-004
233	7.6844	1.4988	0.	3.6262e-004
234	7.6787	1.7708	0.	4.3946e-004
235	7.6785	2.0437	0.	3.7305e-004
236	0.49264	0.49144	0.	2.5818e-004
237	0.98851	0.48651	0.	1.9981e-004
238	1.4911	0.47445	0.	2.1068e-004
239	1.9932	0.47587	0.	2.0371e-004
240	2.4938	0.47317	0.	1.9803e-004
241	2.9949	0.46889	0.	1.9096e-004
242	3.5	0.46371	0.	1.8388e-004
243	4.	0.46371	0.	1.7662e-004
244	4.5	0.46371	0.	1.6893e-004
245	5.	0.46371	0.	1.6062e-004
246	5.505	0.46802	0.	1.5051e-004
247	6.0176	0.46862	0.	1.4424e-004
248	6.5151	0.46815	0.	1.3583e-004
249	6.9858	0.33674	0.	1.0577e-004
250	0.49053	5.5047	0.	2.5841e-004
251	0.48178	5.0055	0.	3.3304e-004
252	0.47436	4.5052	0.	3.6223e-004
253	0.46885	4.0041	0.	3.7978e-004
254	0.46371	3.5	0.	3.8808e-004
255	0.46371	3.	0.	3.9026e-004
256	0.47173	2.4927	0.	3.8752e-004
257	0.47858	1.9875	0.	3.7903e-004
258	0.48338	1.4896	0.	3.6109e-004
259	0.48865	0.98601	0.	3.325e-004
260	7.4894	5.7262	0.	7.1139e-005
261	6.9876	5.6331	0.	1.0908e-004
262	6.4884	5.5745	0.	1.3462e-004
263	6.0023	5.5446	0.	1.4334e-004
264	5.4983	5.543	0.	1.5031e-004
265	5.	5.5363	0.	1.6014e-004
266	4.5	5.5363	0.	1.6863e-004
