Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
140	15.68	1.5633	0.1	2.0923e-005
141	14.517	1.5417	0.1	2.6987e-005
142	13.364	1.5298	0.1	3.3701e-005
143	12.207	1.5045	0.1	4.1255e-005
144	11.01	1.517	0.1	4.9616e-005
145	9.8119	1.5181	0.1	5.8863e-005
146	8.5845	1.5271	0.1	6.9472e-005
147	7.3826	1.4513	0.1	7.882e-005
148	6.3403	1.1336	0.1	8.6566e-005
149	5.41	0.75817	0.1	9.1093e-005
150	0.99238	3.2172	0.1	1.4627e-004
151	0.96518	1.0271	0.1	1.2996e-004
152	0.9608	2.0943	0.1	1.4324e-004
153	4.3063	5.4679	0.1	7.6757e-005
154	1.18	4.5074	0.1	1.2556e-004
155	4.1188	5.0385	0.1	8.0874e-005
156	4.5439	4.6507	0.1	1.1138e-004
157	2.7184	4.0616	0.1	1.8425e-004
158	2.1414	4.9955	0.1	1.2003e-004
159	4.3718	0.54791	0.1	7.4681e-005
160	2.0089	2.5438	0.1	1.4026e-004
161	1.9986	0.81159	0.1	1.1284e-004
162	5.1756	3.2237	0.1	1.2391e-004
163	3.1754	3.4953	0.1	3.0186e-004
164	4.8597	2.4153	0.1	1.2808e-004
165	3.8399	3.1265	0.1	1.6957e-004
166	3.0505	3.0357	0.1	2.7216e-004
167	3.3467	5.5	0.1	5.1247e-005
168	3.3467	5.	0.1	1.4434e-004
169	3.3467	4.5	0.1	1.5118e-004
170	3.3467	4.	0.1	2.9999e-004
171	3.18	4.	0.1	4.9794e-004
172	3.18	4.5	0.1	1.4384e-004
173	3.18	5.	0.1	6.8852e-005
174	3.18	5.5	0.1	8.0219e-005
175	3.3467	0.5	0.1	5.6963e-005
176	3.3467	1.	0.1	8.7308e-005
177	3.3467	1.5	0.1	1.8009e-004
178	3.3467	2.	0.1	3.2922e-004
179	3.18	2.	0.1	4.3479e-004
180	3.18	1.5	0.1	2.6647e-004
181	3.18	1.	0.1	1.748e-004
182	3.18	0.5	0.1	1.1204e-004
