Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
122,7.1621,2.4161,0.1,0.00041033,4100.5,0.00041214,4156.7,-0.00012461,123.76,-0.00014217,-8.1976,0.26882
123,5.9628,2.414,0.1,0.00043988,4395.8,0.00044287,4493.1,-0.00012562,221.68,-0.00015742,-17.257,0.18947
124,4.7624,2.4143,0.1,0.00046639,4660.7,0.00047154,4838.7,-0.00011939,398.77,-0.00017447,-15.096,0.12281
125,3.5657,2.4143,0.1,0.00049065,4903.2,0.00049589,5139.9,-0.00010137,652.35,-0.00020062,-93.394,0.069909
126,13.441,3.5813,0.1,0.00024565,2454.8,0.00024529,2444.4,-7.9491e-05,4.121,-8.3331e-05,-24.731,0.8565
127,2.3709,2.4132,0.1,0.0005091,5087.5,0.00052701,5779.3,-6.7524e-05,1312.2,-0.00020999,241.72,0.031263
128,2.4401,3.5974,0.1,0.00050813,5077.8,0.00052598,5765.3,-6.8038e-05,1302,-0.0002093,240.64,0.033068
129,21.273,2.1121,0.1,5.4416e-05,543.78,5.4632e-05,551.43,-1.5587e-05,23.831,-1.9718e-05,-7.207,1.863
130,15.011,4.8334,0.1,0.00020254,2024,0.00020127,1987.5,-6.4454e-05,-8.9687,-7.1635e-05,-62.921,1.0365
131,22.636,3.4535,0.1,2.9983e-05,299.62,2.9648e-05,294.1,-7.1335e-06,17.741,-1.2732e-05,-24.325,2.0551
132,22.657,2.3152,0.1,2.9845e-05,298.25,2.9689e-05,295.5,-8.0469e-06,11.972,-1.171e-05,-15.548,2.0581
133,1.1767,2.405,0.1,0.00060006,5996.4,0.0005635,5667.4,-2.1221e-05,1274.1,-0.00034571,-1164,0.0077218
134,1.2179,3.5997,0.1,0.00059966,5992.4,0.00056261,5654.9,-2.0616e-05,1272.8,-0.00034622,-1173.7,0.0082598
135,1.253,4.7999,0.1,0.00056612,5657.3,0.00053945,5339.4,-5.6279e-05,863.28,-0.00030681,-1019.1,0.0080768
136,2.5062,4.7955,0.1,0.00052683,5264.7,0.00054164,5752.7,-0.00011432,824.06,-0.00019652,206.44,0.03284
137,3.7566,4.8076,0.1,0.00050517,5048.3,0.00050955,5198.4,-0.00013522,353.78,-0.0001865,-31.503,0.074349
138,5.0126,4.8074,0.1,0.00047362,4732.9,0.00047742,4852.1,-0.00013746,232.07,-0.00016651,13.789,0.13206
139,6.2689,4.8069,0.1,0.00043985,4395.5,0.000442,4461.5,-0.00013417,132.38,-0.00015145,2.5366,0.20486
140,7.5273,4.8074,0.1,0.00040513,4048.5,0.00040635,4085.2,-0.0001277,72.521,-0.00013713,1.6405,0.29177
141,8.7872,4.8089,0.1,0.00037025,3699.9,0.00037082,3717,-0.00011924,34.887,-0.00012395,-0.56137,0.39166
142,10.048,4.8085,0.1,0.00033552,3352.9,0.0003357,3358.1,-0.00010953,12.868,-0.00011156,-2.3893,0.50341
143,11.302,4.8081,0.1,0.0003015,3012.9,0.00030143,3010.8,-9.899e-05,2.2546,-0.00010014,-6.3671,0.62514
144,12.552,4.7991,0.1,0.00026833,2681.4,0.00026807,2673.8,-8.793e-05,-0.98889,-8.9678e-05,-14.126,0.75589
145,13.785,4.8065,0.1,0.00023613,2359.6,0.00023555,2342.8,-7.7367e-05,-8.3345,-7.9617e-05,-25.24,0.89303
146,22.757,1.1662,0.1,2.7809e-05,277.89,2.74e-05,268.09,-7.5071e-06,5.8105,-1.1362e-05,-23.151,2.072
147,15.317,1.362,0.1,0.0001958,1956.6,0.00019465,1925.6,-5.992e-05,12.868,-7.123e-05,-72.114,1.0737
