Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
1	18.	0.	0.1	266.81
2	18.	0.	0.	49.546
3	0.	0.	0.1	4142.3
4	8.5272	1.3219e-030	0.1	920.32
5	0.	0.	0.	-1324.3
6	8.6615	1.3427e-030	0.	87.48
7	18.167	0.	0.1	148.52
8	18.167	0.	0.	34.36
9	24.	0.	0.	14.615
10	24.	0.	0.1	20.769
11	18.	2.	0.1	4956.6
12	18.167	2.	0.1	4542.2
13	24.	6.	0.1	23.682
14	18.167	6.	0.1	61.108
15	18.167	4.	0.1	3520.8
16	18.	4.	0.1	3558.7
17	18.	6.	0.1	264.21
18	3.937e-014	6.	0.1	10665
19	8.8582	6.	0.1	882.
20	18.	2.	0.	271.91
21	3.937e-014	6.	0.	-1604.5
22	18.	6.	0.	30.522
23	8.8624	6.	0.	797.59
24	18.	4.	0.	272.02
25	18.167	4.	0.	81.592
26	18.167	6.	0.	22.322
27	24.	6.	0.	14.697
28	18.167	2.	0.	154.48
29	13.5	0.	0.1	2283.8
30	13.5	0.	0.	59.376
31	21.083	0.	0.	22.672
32	21.083	0.	0.1	598.23
33	18.	1.	0.1	752.68
34	18.	1.5	0.1	1579.5
35	18.167	1.	0.1	647.88
36	18.167	1.5	0.1	802.77
37	24.	3.	0.1	166.01
38	21.083	6.	0.1	554.38
39	18.167	5.	0.1	737.38
40	18.167	4.5	0.1	1318.2
41	18.	5.	0.1	683.34
42	18.	4.5	0.1	1435.4
43	13.5	6.	0.1	2202.8
44	15.75	6.	0.1	1804.2
45	18.	1.	0.	626.3
46	18.	1.5	0.	884.16
47	13.5	6.	0.	-20.997
48	18.	5.	0.	384.67
49	18.	4.5	0.	842.19
50	18.167	5.	0.	81.879
51	18.167	4.5	0.	227.99
52	21.083	6.	0.	10.373
53	24.	3.	0.	122.25
54	18.167	1.	0.	301.72
55	18.167	1.5	0.	800.92
56	15.75	6.	0.	-7.4995
57	4.5	0.	0.1	1806.7
58	2.4141	3.7422e-031	0.1	1896.1
59	4.5	0.	0.	11.065
60	2.25	0.	0.	217.45
61	4.6832	6.	0.1	2228.9
62	2.1046	6.	0.1	2224.4
63	1.9685e-014	3.	0.1	5668.3
64	9.8425e-015	1.5	0.1	5555.4
65	2.9528e-014	4.5	0.1	5665.5
66	1.9685e-014	3.	0.	-2792.5
67	9.8425e-015	1.5	0.	-1646.1
68	2.9528e-014	4.5	0.	-238.3
69	4.6794	6.	0.	432.01
70	2.25	6.	0.	422.06
71	11.455	1.7758e-030	0.1	1691.6
72	15.75	0.	0.1	1995.8
73	16.875	0.	0.1	1189.5
74	11.387	1.7652e-030	0.	-422.24
75	15.75	0.	0.	6.3811
76	16.875	0.	0.	70.143
77	19.625	0.	0.	-2.3597
78	18.896	0.	0.	27.604
79	22.542	0.	0.	55.522
80	23.271	0.	0.	17.77
81	19.625	0.	0.1	852.11
82	18.896	0.	0.1	615.71
83	22.542	0.	0.1	284.23
