Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
1	8.0625	2.6482	0.	8.7214e-004
2	5.6834	3.181	0.	3.7275e-004
3	9.9814	2.476	0.	2.5467e-004
4	6.1075	1.0976	0.	3.9742e-004
5	7.8581	3.0426	0.	8.4612e-004
6	8.1755	2.6544	0.	8.9778e-004
7	10.928	3.2604	0.	2.4554e-004
8	13.843	1.9825	0.	1.602e-004
9	17.667	2.4969	0.	1.2084e-004
10	20.979	2.9329	0.	6.8731e-005
11	15.779	4.2425	0.	1.7771e-004
12	13.622	3.808	0.	1.7655e-004
13	11.18	4.5517	0.	2.2025e-004
14	6.5064	1.9745	0.	3.6173e-004
15	2.4899	3.194	0.	4.9293e-004
16	4.3231	1.8129	0.	4.4875e-004
17	5.0883	4.3828	0.	4.134e-004
18	7.1105	3.1728	0.	5.3148e-004
19	8.7207	2.6203	0.	5.6925e-004
20	8.3773	3.0793	0.	8.0487e-004
21	7.2558	2.6047	0.	5.239e-004
22	10.695	1.2059	0.	2.829e-004
23	10.695	1.2059	0.1	2.829e-004
24	7.2558	2.6047	0.1	5.239e-004
25	8.3773	3.0793	0.1	8.0487e-004
26	8.7207	2.6203	0.1	5.6925e-004
27	7.1105	3.1728	0.1	5.3148e-004
28	5.0883	4.3828	0.1	4.134e-004
29	4.3231	1.8129	0.1	4.4875e-004
30	2.4899	3.194	0.1	4.9293e-004
31	6.5064	1.9745	0.1	3.6173e-004
32	11.18	4.5517	0.1	2.2025e-004
33	13.622	3.808	0.1	1.7655e-004
34	15.779	4.2425	0.1	1.7771e-004
35	20.979	2.9329	0.1	6.8731e-005
36	17.667	2.4969	0.1	1.2084e-004
37	13.843	1.9825	0.1	1.602e-004
38	10.928	3.2604	0.1	2.4554e-004
39	8.1755	2.6544	0.1	8.9778e-004
40	7.8581	3.0426	0.1	8.4612e-004
41	6.1075	1.0976	0.1	3.9742e-004
42	9.9814	2.476	0.1	2.5467e-004
43	5.6834	3.181	0.1	3.7275e-004
44	8.0625	2.6482	0.1	8.7214e-004
45	8.1667	5.	0.1	3.0912e-004
46	8.1667	4.5	0.1	5.4613e-004
47	8.1667	4.	0.1	1.1675e-003
48	8.	4.	0.1	1.2299e-003
49	8.	4.5	0.1	8.1075e-004
50	8.	5.	0.1	4.3115e-004
51	8.1667	1.	0.1	2.8055e-004
52	8.1667	1.5	0.1	6.9259e-004
53	8.1667	2.	0.1	1.329e-003
54	8.	2.	0.1	1.4457e-003
55	8.	1.5	0.1	6.7413e-004
56	8.	1.	0.1	3.6131e-004
57	8.1667	6.	0.1	2.6069e-004
58	10.806	6.	0.1	2.0784e-004
59	13.444	6.	0.1	1.8224e-004
60	16.083	6.	0.1	1.5767e-004
61	18.722	6.	0.1	1.0717e-004
62	21.361	6.	0.1	5.7294e-005
63	24.	6.	0.1	3.3312e-005
64	24.	3.	0.1	3.6644e-005
65	2.6226e-014	3.	0.1	3.9062e-004
66	24.	0.	0.1	4.142e-005
67	20.833	0.	0.1	7.8368e-005
68	17.667	0.	0.1	1.3106e-004
69	14.5	0.	0.1	1.4423e-004
70	11.333	0.	0.1	2.1923e-004
71	8.1667	0.	0.1	2.7094e-004
72	8.	0.	0.1	2.6094e-004
73	6.	9.0989e-031	0.1	3.6858e-004
74	4.	6.0659e-031	0.1	4.7139e-004
75	2.	3.033e-031	0.1	5.11e-004
76	0.	0.	0.1	3.326e-004
77	3.937e-014	6.	0.1	3.7975e-004
78	2.6667	6.	0.1	5.0461e-004
79	5.3333	6.	0.1	3.6824e-004
80	8.	6.	0.1	3.2237e-004
81	5.3333	6.	0.	3.6824e-004
82	2.6667	6.	0.	5.0461e-004
83	8.	6.	0.	3.2237e-004
84	3.937e-014	6.	0.	3.7975e-004
85	2.	3.033e-031	0.	5.11e-004
86	4.	6.0659e-031	0.	4.7139e-004
87	6.	9.0989e-031	0.	3.6858e-004
88	8.	0.	0.	2.6094e-004
89	0.	0.	0.	3.326e-004
90	11.333	0.	0.	2.1923e-004
91	14.5	0.	0.	1.4423e-004
92	17.667	0.	0.	1.3106e-004
93	20.833	0.	0.	7.8368e-005
94	8.1667	0.	0.	2.7094e-004
95	24.	0.	0.	4.142e-005
96	2.6226e-014	3.	0.	3.9062e-004
97	24.	3.	0.	3.6644e-005
98	24.	6.	0.	3.3312e-005
99	21.361	6.	0.	5.7294e-005
100	18.722	6.	0.	1.0717e-004
101	16.083	6.	0.	1.5767e-004
102	13.444	6.	0.	1.8224e-004
103	10.806	6.	0.	2.0784e-004
104	8.1667	6.	0.	2.6069e-004
105	8.	1.5	0.	6.7413e-004
106	8.	1.	0.	3.6131e-004
107	8.	2.	0.	1.4457e-003
108	8.1667	1.	0.	2.8055e-004
109	8.1667	1.5	0.	6.9259e-004
110	8.1667	2.	0.	1.329e-003
111	8.	4.5	0.	8.1075e-004
112	8.	5.	0.	4.3115e-004
113	8.	4.	0.	1.2299e-003
114	8.1667	5.	0.	3.0912e-004
115	8.1667	4.5	0.	5.4613e-004
116	8.1667	4.	0.	1.1675e-003
117	7.9603	2.8454	0.	8.5648e-004
118	8.119	2.6513	0.	8.7351e-004
119	8.0625	2.6482	5.e-002	1.4396e-004
120	8.0313	2.3241	0.	1.1396e-003
121	6.0949	2.5778	0.	3.6424e-004
122	5.0033	2.4969	0.	4.0973e-004
123	5.3859	3.7819	0.	3.9119e-004
124	6.397	3.1769	0.	4.3774e-004
125	5.6834	3.181	5.e-002	2.2559e-005
126	6.8417	3.8405	0.	5.7014e-004
127	10.454	2.8682	0.	2.4907e-004
128	9.351	2.5482	0.	4.0756e-004
129	10.338	1.841	0.	2.6515e-004
130	9.9814	2.476	5.e-002	1.5033e-005
131	9.074	1.988	0.	4.5428e-004
132	9.074	3.238	0.	6.9743e-004
133	6.307	1.536	0.	3.7836e-004
134	5.2153	1.4552	0.	4.1943e-004
135	6.1075	1.0976	5.e-002	3.0192e-005
136	6.0538	0.54878	0.	3.8269e-004
137	7.0538	1.0488	0.	3.6351e-004
138	8.1177	3.061	0.	8.2331e-004
139	7.5569	2.8237	0.	6.7908e-004
140	7.8581	3.0426	5.e-002	6.15e-005
141	7.9291	3.5213	0.	1.0239e-003
142	8.2764	2.8668	0.	8.4818e-004
143	8.1755	2.6544	5.e-002	1.2322e-004
144	8.1711	2.3272	0.	1.0897e-003
145	12.385	2.6215	0.	1.9994e-004
146	11.054	3.9061	0.	2.3212e-004
147	10.928	3.2604	5.e-002	2.8197e-005
148	9.5471	3.8802	0.	3.7143e-004
149	15.755	2.2397	0.	1.3928e-004
150	13.732	2.8953	0.	1.6636e-004
151	12.269	1.5942	0.	2.1377e-004
152	13.843	1.9825	5.e-002	8.1455e-006
153	14.172	0.99125	0.	1.4991e-004
154	19.323	2.7149	0.	9.4151e-005
155	16.723	3.3697	0.	1.4912e-004
156	17.667	2.4969	5.e-002	2.0511e-006
157	17.667	1.2485	0.	1.2572e-004
158	18.194	4.2485	0.	1.1331e-004
159	20.979	2.9329	5.e-002	1.5551e-006
160	20.906	1.4665	0.	7.3224e-005
161	22.489	2.9665	0.	5.2521e-005
162	21.17	4.4665	0.	6.269e-005
163	14.7	4.0253	0.	1.77e-004
164	15.779	4.2425	5.e-002	1.2276e-005
165	15.931	5.1213	0.	1.6669e-004
166	12.401	4.1799	0.	1.9765e-004
167	13.622	3.808	5.e-002	2.1333e-005
168	13.533	4.904	0.	1.7881e-004
169	11.18	4.5517	5.e-002	1.755e-005
170	10.993	5.2759	0.	2.1382e-004
171	9.6732	4.7759	0.	2.5486e-004
172	6.8811	2.2896	0.	4.4214e-004
173	6.5064	1.9745	5.e-002	3.0452e-005
174	7.2532	1.7373	0.	4.9011e-004
175	3.4065	2.5034	0.	4.6774e-004
176	3.7891	3.7884	0.	4.4293e-004
177	2.4899	3.194	5.e-002	2.8741e-005
178	2.5783	4.597	0.	4.9726e-004
179	2.2449	1.597	0.	4.9964e-004
180	1.2449	3.097	0.	4.352e-004
181	4.3231	1.8129	5.e-002	2.8686e-005
182	4.1615	0.90643	0.	4.5664e-004
183	5.0883	4.3828	5.e-002	4.0846e-005
184	5.2108	5.1914	0.	3.883e-004
185	6.5442	4.6914	0.	4.02e-004
186	7.1831	2.8888	0.	5.1948e-004
187	7.1105	3.1728	5.e-002	4.1887e-005
188	7.5552	3.5864	0.	8.6219e-004
189	8.549	2.8498	0.	6.8021e-004
190	8.7207	2.6203	5.e-002	8.1717e-006
191	8.4437	2.3102	0.	9.3073e-004
192	8.3773	3.0793	5.e-002	3.3858e-005
193	8.272	3.5396	0.	9.625e-004
194	7.2558	2.6047	5.e-002	4.0881e-005
195	7.6279	2.3024	0.	9.8126e-004
196	10.695	1.2059	5.e-002	2.8911e-005
197	11.014	0.60296	0.	2.5e-004
198	9.431	1.103	0.	2.7238e-004
199	12.269	1.5942	0.1	2.1377e-004
200	10.338	1.841	0.1	2.6515e-004
201	9.431	1.103	0.1	2.7238e-004
202	11.014	0.60296	0.1	2.5e-004
203	7.1831	2.8888	0.1	5.1948e-004
204	6.8811	2.2896	0.1	4.4214e-004
205	7.5569	2.8237	0.1	6.7908e-004
206	7.6279	2.3024	0.1	9.8126e-004
207	8.549	2.8498	0.1	6.8021e-004
208	8.2764	2.8668	0.1	8.4818e-004
209	8.1177	3.061	0.1	8.2331e-004
210	8.272	3.5396	0.1	9.625e-004
211	9.351	2.5482	0.1	4.0756e-004
212	8.4437	2.3102	0.1	9.3073e-004
213	6.397	3.1769	0.1	4.3774e-004
214	7.5552	3.5864	0.1	8.6219e-004
215	3.7891	3.7884	0.1	4.4293e-004
216	5.3859	3.7819	0.1	3.9119e-004
217	6.5442	4.6914	0.1	4.02e-004
218	5.2108	5.1914	0.1	3.883e-004
219	3.4065	2.5034	0.1	4.6774e-004
220	5.2153	1.4552	0.1	4.1943e-004
221	5.0033	2.4969	0.1	4.0973e-004
222	4.1615	0.90643	0.1	4.5664e-004
223	1.2449	3.097	0.1	4.352e-004
224	2.2449	1.597	0.1	4.9964e-004
225	2.5783	4.597	0.1	4.9726e-004
226	6.307	1.536	0.1	3.7836e-004
227	6.0949	2.5778	0.1	3.6424e-004
228	7.2532	1.7373	0.1	4.9011e-004
229	12.401	4.1799	0.1	1.9765e-004
230	11.054	3.9061	0.1	2.3212e-004
231	9.6732	4.7759	0.1	2.5486e-004
232	10.993	5.2759	0.1	2.1382e-004
233	14.7	4.0253	0.1	1.77e-004
234	13.732	2.8953	0.1	1.6636e-004
235	13.533	4.904	0.1	1.7881e-004
236	16.723	3.3697	0.1	1.4912e-004
237	15.931	5.1213	0.1	1.6669e-004
238	19.323	2.7149	0.1	9.4151e-005
239	21.17	4.4665	0.1	6.269e-005
240	22.489	2.9665	0.1	5.2521e-005
241	20.906	1.4665	0.1	7.3224e-005
242	15.755	2.2397	0.1	1.3928e-004
243	18.194	4.2485	0.1	1.1331e-004
244	17.667	1.2485	0.1	1.2572e-004
245	12.385	2.6215	0.1	1.9994e-004
246	14.172	0.99125	0.1	1.4991e-004
247	10.454	2.8682	0.1	2.4907e-004
248	9.5471	3.8802	0.1	3.7143e-004
249	8.119	2.6513	0.1	8.7351e-004
250	8.1711	2.3272	0.1	1.0897e-003
251	7.9603	2.8454	0.1	8.5648e-004
252	7.9291	3.5213	0.1	1.0239e-003
253	7.0538	1.0488	0.1	3.6351e-004
254	6.0538	0.54878	0.1	3.8269e-004
255	9.074	3.238	0.1	6.9743e-004
256	9.074	1.988	0.1	4.5428e-004
257	6.8417	3.8405	0.1	5.7014e-004
258	8.0313	2.3241	0.1	1.1396e-003
259	8.1667	4.75	0.1	4.2609e-004
260	8.1667	5.5	0.1	2.8424e-004
261	8.1667	5.	5.e-002	8.7272e-006
262	8.1667	4.25	0.1	8.4203e-004
263	8.1667	4.5	5.e-002	3.8601e-005
264	8.0833	4.	0.1	1.1366e-003
265	8.1667	4.	5.e-002	8.4586e-005
