Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
1	2.6893	3.2987	0.	-8.7453e-004
2	1.8649	3.2373	0.	-1.1628e-003
3	0.99215	3.7407	0.	-6.2997e-004
4	3.7989	3.4062	0.	-4.9329e-004
5	3.3666	1.6941	0.	-4.7149e-004
6	2.6409	2.2825	0.	-7.0682e-004
7	2.1334	3.5106	0.	-1.2331e-003
8	17.697	2.9833	0.	-1.3624e-004
9	10.112	3.296	0.	-2.3058e-004
10	6.7341	1.672	0.	-3.6496e-004
11	4.9103	4.5514	0.	-3.7991e-004
12	4.9103	4.5514	0.1	-1.7247e-004
13	6.7341	1.672	0.1	-1.4428e-004
14	10.112	3.296	0.1	-9.5216e-005
15	17.697	2.9833	0.1	-5.8661e-005
16	2.1334	3.5106	0.1	-6.83e-004
17	2.6409	2.2825	0.1	-3.7621e-004
18	3.3666	1.6941	0.1	-2.0027e-004
19	3.7989	3.4062	0.1	-1.8866e-004
20	0.99215	3.7407	0.1	-3.0724e-004
21	1.8649	3.2373	0.1	-4.8571e-004
22	2.6893	3.2987	0.1	-4.5028e-004
23	2.1667	1.	0.1	-1.6241e-004
24	2.1667	1.5	0.1	-3.9385e-004
25	2.1667	2.	0.1	-1.3649e-003
26	2.	2.	0.1	-7.9326e-004
27	2.	1.5	0.1	-5.7181e-004
28	2.	1.	0.1	-5.1735e-004
29	2.1667	5.	0.1	-1.9859e-004
30	2.1667	4.5	0.1	-3.5102e-004
31	2.1667	4.	0.1	-7.7449e-004
32	2.	4.	0.1	-7.7803e-004
33	2.	4.5	0.1	-5.531e-004
34	2.	5.	0.1	-1.6132e-004
35	2.1667	6.	0.1	-1.5867e-004
36	5.5781	6.	0.1	-1.5555e-004
37	10.354	6.	0.1	-9.5651e-005
38	17.177	6.	0.1	-5.6268e-005
39	24.	6.	0.1	-2.9759e-005
40	24.	3.	0.1	-5.7248e-005
41	2.6226e-014	3.	0.1	-1.6772e-005
42	3.937e-014	6.	0.1	-3.7622e-006
43	1.	6.	0.1	-2.2007e-004
44	2.	6.	0.1	-1.1853e-004
45	24.	0.	0.1	-8.9516e-005
46	18.542	0.	0.1	-4.3145e-005
47	13.083	0.	0.1	-7.7666e-005
48	7.625	0.	0.1	-1.4574e-004
49	4.8958	0.	0.1	-1.4696e-004
50	2.1667	0.	0.1	-2.9602e-004
51	2.	0.	0.1	-2.991e-004
52	0.	0.	0.1	-3.1831e-005
53	2.	0.	0.	-3.8296e-004
54	0.	0.	0.	-3.6627e-004
55	4.8958	0.	0.	-3.8329e-004
56	7.625	0.	0.	-3.3352e-004
57	13.083	0.	0.	-1.9392e-004
58	18.542	0.	0.	-1.2273e-004
59	2.1667	0.	0.	-3.7521e-004
60	24.	0.	0.	-7.7041e-005
61	1.	6.	0.	-3.7024e-004
62	2.	6.	0.	-3.1806e-004
63	3.937e-014	6.	0.	-2.3481e-004
64	2.6226e-014	3.	0.	-4.9059e-004
65	24.	3.	0.	-8.2607e-005
66	24.	6.	0.	-9.3953e-005
67	17.177	6.	0.	-1.4322e-004
68	10.354	6.	0.	-2.209e-004
69	5.5781	6.	0.	-3.2762e-004
70	2.1667	6.	0.	-4.0254e-004
71	2.	4.5	0.	-1.1476e-003
72	2.	5.	0.	-4.8261e-004
73	2.	4.	0.	-1.9038e-003
74	2.1667	5.	0.	-5.4485e-004
75	2.1667	4.5	0.	-1.1e-003
76	2.1667	4.	0.	-2.3342e-003
77	2.	1.5	0.	-1.1269e-003
78	2.	1.	0.	-7.5478e-004
79	2.	2.	0.	-2.0469e-003
80	2.1667	1.	0.	-4.3429e-004
81	2.1667	1.5	0.	-6.7096e-004
82	2.1667	2.	0.	-2.2923e-003
83	3.2441	3.3525	0.	-6.8091e-004
84	2.6651	2.7906	0.	-7.8915e-004
85	2.4114	3.4047	0.	-1.0529e-003
86	2.6893	3.2987	5.e-002	-9.8042e-005
87	2.428	3.6494	0.	-1.5756e-003
88	1.4285	3.489	0.	-8.9259e-004
89	2.2529	2.7599	0.	-9.3388e-004
90	1.9992	3.374	0.	-1.196e-003
91	1.8649	3.2373	5.e-002	-1.1062e-005
92	1.9325	2.6187	0.	-1.5334e-003
93	0.99215	3.7407	5.e-002	-3.1293e-005
94	0.99607	4.8703	0.	-4.9283e-004
95	0.49607	3.3703	0.	-5.5195e-004
96	1.4961	4.1203	0.	-8.2426e-004
97	1.4961	4.3703	0.	-5.2368e-004
98	1.4961	3.8703	0.	-1.2644e-003
99	1.4961	2.6203	0.	-7.8829e-004
100	1.4961	2.8703	0.	-1.2642e-003
101	3.5828	2.5502	0.	-4.7223e-004
102	5.2665	2.5391	0.	-4.2357e-004
103	4.3546	3.9788	0.	-4.3633e-004
104	3.7989	3.4062	5.e-002	-4.4024e-005
105	2.9828	3.9531	0.	-7.7809e-004
106	3.0038	1.9883	0.	-5.8685e-004
107	3.3666	1.6941	5.e-002	-1.6419e-005
108	4.1312	0.84706	0.	-4.2273e-004
109	2.7666	1.3471	0.	-4.515e-004
110	2.6409	2.2825	5.e-002	-6.579e-005
111	2.4038	1.8913	0.	-5.6849e-004
112	2.4038	2.1413	0.	-1.4741e-003
113	2.1334	3.5106	5.e-002	-3.8513e-005
114	2.0667	3.7553	0.	-1.5389e-003
115	13.904	3.1397	0.	-1.8332e-004
116	17.697	2.9833	5.e-002	-5.9514e-006
117	18.119	1.4917	0.	-1.2818e-004
118	20.848	2.9917	0.	-1.0917e-004
119	17.437	4.4917	0.	-1.3955e-004
120	8.4232	2.484	0.	-2.9752e-004
121	7.5113	3.9237	0.	-3.0242e-004
122	10.112	3.296	5.e-002	-1.333e-005
123	11.598	1.648	0.	-2.1207e-004
124	10.233	4.648	0.	-2.2567e-004
125	6.7341	1.672	5.e-002	-2.1724e-005
126	5.815	0.836	0.	-3.7205e-004
127	7.1796	0.836	0.	-3.4836e-004
128	4.9103	4.5514	5.e-002	-5.3637e-005
129	5.2442	5.2757	0.	-3.5342e-004
130	3.5385	4.7757	0.	-4.5082e-004
131	7.5113	3.9237	0.1	-1.2366e-004
132	4.3546	3.9788	0.1	-1.4874e-004
133	3.5385	4.7757	0.1	-1.7763e-004
134	5.2442	5.2757	0.1	-1.6358e-004
135	8.4232	2.484	0.1	-1.0563e-004
136	5.2665	2.5391	0.1	-1.6229e-004
137	7.1796	0.836	0.1	-1.4403e-004
138	5.815	0.836	0.1	-1.4336e-004
139	13.904	3.1397	0.1	-6.8234e-005
140	10.233	4.648	0.1	-9.03e-005
141	11.598	1.648	0.1	-8.066e-005
142	17.437	4.4917	0.1	-5.6493e-005
143	20.848	2.9917	0.1	-5.7414e-005
144	18.119	1.4917	0.1	-4.9441e-005
145	1.9992	3.374	0.1	-5.8153e-004
146	2.4114	3.4047	0.1	-5.6065e-004
147	2.0667	3.7553	0.1	-6.7844e-004
148	3.0038	1.9883	0.1	-2.8399e-004
149	2.2529	2.7599	0.1	-4.2462e-004
150	2.6651	2.7906	0.1	-3.8543e-004
151	2.4038	1.8913	0.1	-2.5491e-004
152	2.4038	2.1413	0.1	-8.2869e-004
153	3.5828	2.5502	0.1	-1.7219e-004
154	2.7666	1.3471	0.1	-1.5406e-004
155	4.1312	0.84706	0.1	-1.6823e-004
156	3.2441	3.3525	0.1	-3.1396e-004
157	2.9828	3.9531	0.1	-2.3791e-004
158	1.4285	3.489	0.1	-3.3449e-004
159	1.4961	2.8703	0.1	-5.4719e-004
160	1.4961	2.6203	0.1	-4.3851e-004
161	1.4961	3.8703	0.1	-4.8433e-004
162	1.4961	4.1203	0.1	-4.2393e-004
163	1.4961	4.3703	0.1	-2.2816e-004
164	0.49607	3.3703	0.1	-1.5191e-004
165	0.99607	4.8703	0.1	-2.6208e-004
166	1.9325	2.6187	0.1	-5.5374e-004
167	2.428	3.6494	0.1	-4.8696e-004
168	2.1667	1.25	0.1	-2.046e-004
169	2.1667	0.5	0.1	-2.086e-004
170	2.1667	1.	5.e-002	-6.1168e-005
171	2.1667	1.75	0.1	-7.7027e-004
172	2.1667	1.5	5.e-002	-3.8856e-005
173	2.0833	2.	0.1	-8.163e-004
174	2.1667	2.	5.e-002	-4.6479e-004
175	2.	1.75	0.1	-6.804e-004
176	2.	2.	5.e-002	-1.1184e-004
177	2.	1.25	0.1	-5.4176e-004
178	2.	1.5	5.e-002	-5.1655e-005
179	1.	2.	0.1	-2.6027e-004
180	2.	0.5	0.1	-4.0744e-004
181	2.	1.	5.e-002	-3.3719e-005
182	2.1667	4.75	0.1	-2.7474e-004
183	2.1667	5.5	0.1	-1.7793e-004
184	2.1667	5.	5.e-002	-5.1511e-005
185	2.1667	4.25	0.1	-5.6086e-004
186	2.1667	4.5	5.e-002	-6.7166e-005
187	2.0833	4.	0.1	-6.5256e-004
188	2.1667	4.	5.e-002	-8.6285e-005
189	2.	4.25	0.1	-4.9332e-004
190	2.	4.	5.e-002	-2.3694e-004
191	2.	4.75	0.1	-3.5575e-004
192	2.	4.5	5.e-002	-1.2381e-004
193	2.	5.5	0.1	-1.3415e-004
194	2.	5.	5.e-002	-5.2501e-005
195	3.8724	6.	0.1	-1.546e-004
196	2.1667	6.	5.e-002	-2.2593e-005
197	7.9661	6.	0.1	-1.219e-004
198	5.5781	6.	5.e-002	-4.8891e-005
199	13.766	6.	0.1	-7.5572e-005
200	10.354	6.	5.e-002	-2.6148e-005
201	20.589	6.	0.1	-4.2475e-005
202	17.177	6.	5.e-002	-8.6348e-006
203	24.	4.5	0.1	-4.2098e-005
204	24.	6.	5.e-002	-5.24e-006
205	24.	1.5	0.1	-7.298e-005
206	24.	3.	5.e-002	-4.3336e-006
207	3.9339e-014	4.5	0.1	-1.0162e-005
208	1.3113e-014	1.5	0.1	-8.7052e-006
209	2.6581e-014	3.	5.e-002	-3.1856e-005
210	0.5	6.	0.1	-1.0985e-004
211	5.2451e-014	6.	5.e-002	-6.3306e-006
212	1.5	6.	0.1	-1.6772e-004
213	1.	6.	5.e-002	-1.7939e-005
214	2.	6.	5.e-002	-3.3571e-005
215	21.271	0.	0.1	-6.6228e-005
216	24.	0.	5.e-002	-1.5019e-005
217	15.813	0.	0.1	-5.8241e-005
218	18.542	0.	5.e-002	-1.2321e-005
219	10.354	0.	0.1	-1.0896e-004
220	13.083	0.	5.e-002	-1.3924e-005
