Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
1,3.006,3.0486,0,0.0002834,2832.1,0.00010005,-19.7,8.0451e-05,-166.98,-0.00028629,-2922.5,0.013906
2,4.0735,1.7916,0,0.00012065,1205.7,4.4185e-05,41.719,3.6159e-05,-18.59,-0.00012015,-1193,0.026693
3,1.939,0.81945,0,0.00011007,1099.9,3.6103e-05,-66.419,3.0568e-05,-108.01,-0.00011297,-1186.5,0.0045089
4,1.9949,2.5343,0,0.00014036,1402.6,5.093e-05,-85.025,3.0191e-05,-240.85,-0.00014525,-1559.1,0.0058612
5,4.4208,0.64508,0,7.8501e-05,784.47,3.3763e-05,97.675,2.1201e-05,3.2924,-7.6356e-05,-729.71,0.030873
6,2.1428,5.0225,0,0.00012286,1227.8,4.2891e-05,13.892,3.7816e-05,-24.24,-0.00012299,-1232.5,0.0057578
7,4.3344,4.7184,0,0.00011981,1197.3,5.3407e-05,153.71,2.9273e-05,-27.619,-0.00011663,-1123.9,0.030456
8,3.9396,5.0613,0,8.1421e-05,813.65,3.8393e-05,139.67,1.9356e-05,-3.3642,-7.8153e-05,-736.01,0.02378
9,1.1938,4.5216,0,0.00013745,1373.6,7.9275e-05,301.99,8.7564e-06,-227.85,-0.0001283,-1257.6,0.0019612
10,5.7369,2.7731,0,9.4503e-05,944.38,3.4245e-05,-30.531,2.2981e-05,-115.16,-9.6696e-05,-1014.4,0.055733
11,4.1511,5.4595,0,8.0661e-05,806.05,3.6352e-05,120.54,2.0639e-05,2.4766,-7.7917e-05,-738.03,0.026544
12,5.4187,1.7174,0,9.6619e-05,965.52,3.6817e-05,21.086,2.5229e-05,-65.984,-9.7088e-05,-985.02,0.0494
13,0.94086,2.1073,0,0.0001554,1553,9.1751e-05,346.87,5.3908e-06,-302.01,-0.00014411,-1425.3,0.0012621
14,0.93865,1.0337,0,0.0001381,1380.1,7.8065e-05,297.79,1.187e-05,-199.57,-0.00012953,-1262,0.0010915
15,0.99423,3.2377,0,0.00015945,1593.4,9.4726e-05,375.19,6.3645e-06,-288.72,-0.00014724,-1442.8,0.0014757
16,5.9499,3.7335,0,9.1373e-05,913.09,3.264e-05,-35.089,2.2539e-05,-110.98,-9.362e-05,-983.76,0.059725
17,5.5306,0.81052,0,9.1691e-05,916.28,3.214e-05,33.773,3.0163e-05,18.915,-9.0786e-05,-889.84,0.050656
18,6.6507,0.90151,0,8.6242e-05,861.83,2.9178e-05,-1.4437,2.7108e-05,-16.995,-8.6545e-05,-870.94,0.072755
19,7.8145,0.98393,0,7.5728e-05,756.75,2.576e-05,0.97041,2.3771e-05,-13.975,-7.5938e-05,-763.15,0.097981
20,8.9665,1.0934,0,6.6118e-05,660.73,2.2248e-05,1.4807,2.1227e-05,-6.1931,-6.6195e-05,-663.05,0.12499
21,10.095,1.1778,0,5.652e-05,564.81,1.8881e-05,0.6745,1.8324e-05,-3.5123,-5.6567e-05,-566.21,0.1531
22,11.263,1.1939,0,4.805e-05,480.17,1.6016e-05,2.3371,1.58e-05,0.71673,-4.7998e-05,-478.64,0.18366
23,12.444,1.1887,0,3.9732e-05,397.04,1.3517e-05,4.4773,1.2835e-05,-0.64759,-3.9664e-05,-395.1,0.21586
24,13.611,1.1799,0,3.2345e-05,323.23,1.1242e-05,6.4555,1.03e-05,-0.62599,-3.224e-05,-320.25,0.24877
25,14.767,1.1791,0,2.5739e-05,257.22,9.1463e-06,7.4278,8.0641e-06,-0.70359,-2.5615e-05,-253.76,0.28221
26,15.917,1.1813,0,1.993e-05,199.16,7.2836e-06,8.1029,6.1125e-06,-0.69689,-1.9789e-05,-195.31,0.31617
27,17.07,1.1842,0,1.4891e-05,148.81,5.6402e-06,8.4154,4.4405e-06,-0.59865,-1.4738e-05,-144.7,0.35075
28,18.22,1.1892,0,1.0618e-05,106.11,4.2441e-06,8.6039,3.0152e-06,-0.62921,-1.0452e-05,-101.82,0.38561
29,19.375,1.1919,0,7.1154e-06,71.105,3.0849e-06,8.6464,1.8555e-06,-0.5911,-6.9332e-06,-66.625,0.42087
30,20.527,1.1911,0,4.3797e-06,43.767,2.1658e-06,8.5243,9.4454e-07,-0.65203,-4.1729e-06,-39.103,0.45623
31,21.69,1.1936,0,2.4189e-06,24.173,1.4754e-06,8.2359,2.9837e-07,-0.60789,-2.1645e-06,-19.113,0.49205
32,22.845,1.1961,0,1.2551e-06,12.542,1.0106e-06,7.6476,-9.3358e-08,-0.64695,-9.0975e-07,-6.781,0.52767
33,22.841,2.3949,0,1.5886e-06,15.875,1.3536e-06,10.69,-2.3904e-07,-1.2761,-1.0433e-06,-7.3186,0.5276
34,22.83,3.5942,0,1.5946e-06,15.935,1.3559e-06,10.67,-2.388e-07,-1.3118,-1.0509e-06,-7.4139,0.52731
35,22.843,4.8057,0,1.2562e-06,12.553,1.0117e-06,7.6511,-9.4837e-08,-0.66312,-9.101e-07,-6.7887,0.52768
36,21.684,4.8069,0,2.4264e-06,24.247,1.4778e-06,8.2184,2.9949e-07,-0.63474,-2.1729e-06,-19.211,0.49194
37,20.527,4.7951,0,4.3868e-06,43.838,2.1733e-06,8.5967,9.4428e-07,-0.6374,-4.1778e-06,-39.123,0.45634
38,19.372,4.7961,0,7.1184e-06,71.135,3.083e-06,8.5659,1.8542e-06,-0.66674,-6.9389e-06,-66.734,0.42088
39,18.217,4.7611,0,1.0637e-05,106.3,4.2512e-06,8.6375,3.0231e-06,-0.5896,-1.047e-05,-101.97,0.38562
40,17.066,4.7304,0,1.4913e-05,149.03,5.6475e-06,8.452,4.4508e-06,-0.53971,-1.4758e-05,-144.87,0.35073
41,15.915,4.7133,0,1.9945e-05,199.32,7.285e-06,8.1194,6.1257e-06,-0.59104,-1.9803e-05,-195.41,0.31622
42,14.766,4.7058,0,2.5734e-05,257.16,9.1484e-06,7.5453,8.0664e-06,-0.58394,-2.5606e-05,-253.58,0.28232
43,13.611,4.7366,0,3.2299e-05,322.76,1.1208e-05,6.1513,1.029e-05,-0.74418,-3.2201e-05,-320,0.24887
44,12.435,4.7644,0,3.9802e-05,397.75,1.3468e-05,3.6459,1.2904e-05,-0.5942,-3.9749e-05,-396.21,0.21573
45,11.22,4.7611,0,4.8398e-05,483.64,1.597e-05,-0.4521,1.5933e-05,-0.72939,-4.8418e-05,-484.23,0.18263
46,9.982,4.7183,0,5.7829e-05,577.89,1.9377e-05,1.1917,1.8695e-05,-3.9367,-5.7874e-05,-579.24,0.15038
47,8.7408,4.7126,0,6.695e-05,669.04,2.2211e-05,-6.4119,2.1307e-05,-13.202,-6.7282e-05,-678.82,0.11981
48,7.4812,4.8162,0,7.9249e-05,791.94,2.823e-05,7.9298,2.3314e-05,-29.007,-7.9543e-05,-801.83,0.090834
49,5.9805,4.7693,0,9.0475e-05,904.13,3.1391e-05,-16.101,2.5729e-05,-58.644,-9.1671e-05,-940.75,0.059747
50,5.1508,5.2656,0,9.4537e-05,944.71,3.3152e-05,11.657,2.8929e-05,-20.073,-9.464e-05,-948.52,0.043789
51,6.5462,1.78,0,8.7039e-05,869.79,3.1818e-05,3.6673,2.3694e-05,-57.377,-8.7792e-05,-895.03,0.071307
52,7.6964,1.9165,0,7.5247e-05,751.95,2.5866e-05,-8.3243,2.2294e-05,-35.159,-7.5951e-05,-773.34,0.095991
